event_id,kind,domain,recording_id,start_ns,end_ns,peak_ns,duration_s,route_progress_m,osm_way_id,road_class,detail_approach_distance_m,detail_closest_distance_m,detail_mean_curvature_1_per_m,detail_max_curvature_1_per_m,detail_length_m,detail_previous_class,detail_new_class,detail_duration_s
car_straight_005,straight,car,car_2e84f0c3e245,1330118204566,1345118209774,1337118207118,15.000005208,1841.7614871508645,25626902,unclassified,,,0.0029930483934353107,0.006093741484600881,,,,
car_junction_crossing_007,junction_crossing,car,car_2e84f0c3e245,1335118206389,1340118208108,1338118207430,5.000001719,1859.1054342959837,717185017,unclassified,,5.512604562972657,,,,,,
car_pedestrian_crossing_005,pedestrian_crossing,car,car_2e84f0c3e245,1340118208108,1347118210451,1341118208420,7.000002343,1894.1422013181705,717185017,unclassified,,5.155391932375361,,,,,,
car_junction_approach_008,junction_approach,car,car_2e84f0c3e245,1345118209774,1364118216493,1345118209774,19.000006719,1941.9527237776572,717185017,unclassified,6.251029064563837,,,,,,,
car_straight_006,straight,car,car_2e84f0c3e245,1351118211858,1355118213316,1353118212587,4.000001458,2036.5432699090065,717148552,unclassified,,,0.01503415155723067,0.015034151557230672,,,,
car_roundabout_entry_003,roundabout_entry,car,car_2e84f0c3e245,1357118214045,1357118214045,1357118214045,0.0,2087.3305034932914,718496900,unclassified,,,,,,,,
car_roundabout_exit_003,roundabout_exit,car,car_2e84f0c3e245,1357118214045,1357118214045,1357118214045,0.0,2087.3305034932914,718496900,unclassified,,,,,,,,
car_roundabout_traverse_003,roundabout_traverse,car,car_2e84f0c3e245,1357118214045,1357118214045,1357118214045,0.0,2087.3305034932914,718496900,unclassified,,,,,0.0,,,
car_pedestrian_crossing_006,pedestrian_crossing,car,car_2e84f0c3e245,1356118213680,1366118217170,1359118214722,10.00000349,2103.0605442063006,711388110,unclassified,,0.06241847762493888,,,,,,
car_straight_007,straight,car,car_2e84f0c3e245,1358118214357,1360118215087,1359118214722,2.00000073,2103.0605442063006,711388110,unclassified,,,0.004361349402815555,0.004361349402815555,,,,
car_roundabout_entry_004,roundabout_entry,car,car_2e84f0c3e245,1362118215764,1362118215764,1362118215764,0.0,2125.6373837686256,862981953,unclassified,,,,,,,,
car_roundabout_exit_004,roundabout_exit,car,car_2e84f0c3e245,1362118215764,1362118215764,1362118215764,0.0,2125.6373837686256,862981953,unclassified,,,,,,,,
car_roundabout_traverse_004,roundabout_traverse,car,car_2e84f0c3e245,1362118215764,1362118215764,1362118215764,0.0,2125.6373837686256,862981953,unclassified,,,,,0.0,,,
car_straight_008,straight,car,car_2e84f0c3e245,1363118216128,1364118216493,1364118216493,1.000000365,2145.330423896396,711388114,unclassified,,,0.00012705299473320266,0.00012705299473320266,,,,
car_junction_crossing_008,junction_crossing,car,car_2e84f0c3e245,1345118209774,1367118217535,1365118216805,22.000007761,2165.966216287645,711388115,unclassified,,0.0,,,,,,
car_junction_approach_009,junction_approach,car,car_2e84f0c3e245,1369118218160,1370118218524,1369118218160,1.000000364,2213.3032042240425,69488562,unclassified,19.854090274995855,,,,,,,
car_junction_crossing_009,junction_crossing,car,car_2e84f0c3e245,1369118218160,1380118221962,1371118218837,11.000003802,2243.078301484997,137735208,unclassified,,4.923065461927852,,,,,,
