bin_key,bin_size_m,domain,recording_id,osm_way_id,bin_index,direction,n_samples,mean_heading_deg,mean_match_quality,mean_snap_distance_m,first_timestamp_ns,last_timestamp_ns,road_lanes,road_maxspeed_kph,curvature_1_per_m,distance_to_junction_m,distance_to_roundabout_m,distance_to_traffic_signals_m,distance_to_crossing_m,distance_to_stop_m,distance_to_give_way_m,road_class,road_oneway,road_surface,road_is_roundabout,road_bridge,road_tunnel,road_is_service,against_oneway
w1265232969_b0_A,50.0,car,car_2e84f0c3e245,1265232969,0,A,2,35.951258681462306,0.307879494349226,14.742965737836704,1394118226805,1406118230972,1.0,,0.0957392150578969,4.318890612167623,0.1164345574108034,165.44548703876677,4.318890612167623,5.754360970946552,181.866014410278,tertiary,True,asphalt,True,False,False,False,False
w1265232969_b1_A,50.0,car,car_2e84f0c3e245,1265232969,1,A,5,61.7095988531398,0.5159805543239371,6.134636388562262,1395118227170,1399118228524,1.0,,0.0955570139265125,6.594544495799563,0.2015999018700893,159.66170479987963,6.594544495799563,7.541602096942846,182.1352297326903,tertiary,True,asphalt,True,False,False,False,False
w1265232975_b0_A,50.0,car,car_2e84f0c3e245,1265232975,0,A,4,26.0556257985821,0.4079694156276229,13.091902919811906,1400118228889,1405118230607,1.0,,,2.102464800744292,2.177328931640644,166.56439799415946,2.102464800744292,3.9081390161214498,172.82069132411516,unclassified,True,asphalt,False,False,False,False,False
w137735208_b0_A,50.0,car,car_2e84f0c3e245,137735208,0,A,4,71.74858954353178,0.3959474199744481,20.147340058225797,1371118218837,1374118219878,,,1.7357681346948655e-05,17.213671925004935,108.28925851013892,287.8417748815758,100.71427239448612,174.7114256239232,385.8401882295085,unclassified,,asphalt,False,True,False,False,False
w137735208_b1_A,50.0,car,car_2e84f0c3e245,137735208,1,A,4,71.74858954353178,0.4582790403665515,16.987749352215292,1375118220243,1378118221232,,,1.7357681346948655e-05,22.070312588733284,134.78066724664578,247.60177878810583,123.1024687625562,123.00653773281064,334.1550523875295,unclassified,,asphalt,False,True,False,False,False
w137735208_b2_A,50.0,car,car_2e84f0c3e245,137735208,2,A,4,71.74858954353178,0.4556825675148002,18.061174651213463,1379118221597,1382118222639,,,1.7357681346948655e-05,27.92655131753825,90.39625853675962,214.2867332458609,77.34627212788376,74.37969392749162,285.5533122481599,unclassified,,asphalt,False,True,False,False,False
w137735208_b3_A,50.0,car,car_2e84f0c3e245,137735208,3,A,6,71.74858954353178,0.433442701788078,20.972105363905055,1383118223003,1388118224722,,,1.7357681346948655e-05,26.19484262588276,39.25235728589624,186.7947408920384,26.19484262588276,23.228263779943838,234.4398438888404,unclassified,,asphalt,False,True,False,False,False
w137735208_b4_A,50.0,car,car_2e84f0c3e245,137735208,4,A,1,71.64803487570697,0.4125823457375687,22.6443622039004,1389118225087,1389118225087,,,1.7357681346948655e-05,0.859292682108144,13.933653139033243,176.52704898988438,0.859292682108144,2.1072899065060264,209.129008756086,unclassified,,asphalt,False,True,False,False,False
w137735210_b0_A,50.0,car,car_2e84f0c3e245,137735210,0,A,3,73.20789798722262,0.3213888968708502,22.46170520861071,1390118225399,1392118226128,,,,2.2940872990280123,5.556703796300051,173.7750244278199,7.638688134821635,10.604500427575555,200.6340209591896,unclassified,,,False,True,False,False,False
w22868496_b0_B,50.0,car,car_2e84f0c3e245,22868496,0,B,3,96.86799432263788,0.6578906350929491,15.251377039261511,1211118153785,1213118154670,2.0,50.0,0.0009865903751113,6.80437910819454,56.791515010172304,948.1393450222198,10.637222627427793,1396.2645382531357,1351.889102802092,secondary,,asphalt,False,False,False,False,False
w23064623_b1_A,50.0,car,car_2e84f0c3e245,23064623,1,A,7,144.49311272321353,0.4445926574254929,3.259134138519085,1221118158420,1233118164045,2.0,50.0,0.0387013076214001,36.34650156307953,1.9635793741648024,881.4792637968995,21.68490872164281,1331.9004075376918,1294.784612605804,secondary,True,asphalt,True,False,False,False,False
w23064623_b1_B,50.0,car,car_2e84f0c3e245,23064623,1,B,4,324.82970641516886,0.4299368888754791,6.012707135605654,1226118160764,1229118162170,2.0,50.0,0.0386778990160977,35.22338260976808,2.033784001727708,880.7446725197246,22.508407654243797,1331.5208171042875,1294.6771717659706,secondary,True,asphalt,True,False,False,False,True
w23064623_b2_A,50.0,car,car_2e84f0c3e245,23064623,2,A,5,95.56475623074658,0.5776598011798567,2.819463273783253,1234118164514,1238118166337,2.0,50.0,0.0387006308882184,27.18385738658618,1.5070026371720284,861.0852075481822,41.97136439749467,1312.8573147032243,1278.456187015972,secondary,True,asphalt,True,False,False,False,False
w23064624_b0_A,50.0,car,car_2e84f0c3e245,23064624,0,A,2,79.51342375234816,0.4085343183320964,19.0389405682233,1241118167639,1242118168056,1.0,50.0,0.0139336359485008,28.492116239295125,9.90402019302463,838.2945253134325,55.73592065999969,1279.4666612585438,1241.386903580814,secondary,True,asphalt,False,False,False,False,False
w245122745_b0_A,50.0,car,car_2e84f0c3e245,245122745,0,A,4,93.14160806616472,0.3357641950758609,24.930789962080517,1299118192431,1305118194826,1.0,,0.0119117944804158,23.470066889361323,153.4991026782066,353.7967100287243,39.97163867242023,819.8132616912958,873.3624492056134,unclassified,True,asphalt,False,False,False,False,False
w245122745_b1_A,50.0,car,car_2e84f0c3e245,245122745,1,A,4,102.09104594311115,0.3985431244672043,22.784595828215984,1306118195191,1309118196441,1.0,,0.0004061345824248,75.03139022784842,102.89730069514,311.83038012932064,15.093703601878914,769.5639800463954,833.0148539746556,unclassified,True,asphalt,False,False,False,False,False
