bin_key,bin_size_m,domain_a,domain_b,osm_way_id,bin_index,paired,rejection_reason,centroid_distance_m,heading_difference_deg,direction_a,direction_b,n_samples_a,n_samples_b,match_quality_a,match_quality_b,pair_quality,first_timestamp_ns_a,first_timestamp_ns_b,last_timestamp_ns_a,last_timestamp_ns_b,road_lanes,road_maxspeed_kph,curvature_1_per_m,distance_to_junction_m,distance_to_roundabout_m,distance_to_traffic_signals_m,distance_to_crossing_m,distance_to_stop_m,distance_to_give_way_m,road_class,road_oneway,road_surface,road_is_roundabout,road_bridge,road_tunnel,road_is_service,against_oneway
w137735208_b4_A,10.0,car,motorcycle,137735208,4,False,only 1 samples in the sparser domain,2.8086336361534774,0.0,A,A,1,1,0.41404146843957035,0.970050344430161,0.6337515830892849,1374118219878,3085248147289,1374118219878,3085248147289,,,1.7357681346948655e-05,17.27350869214928,130.83374044247057,269.65821153352493,123.26451987825634,152.1552175585798,363.29169066999344,unclassified,,asphalt,False,True,False,False,False
w137735208_b8_A,10.0,car,motorcycle,137735208,8,False,only 1 samples in the sparser domain,1.9766375946224497,0.0,A,A,1,1,0.46246817424983006,0.9765662407945104,0.6720348252987022,1377118220868,3087248147497,1377118220868,3087248147497,,,1.7357681346948655e-05,26.62747947851604,130.58035581136517,241.25487842597363,117.5318495170348,114.5652713817309,325.7173312579286,unclassified,,asphalt,False,True,False,False,False
w137735210_b0_A,10.0,car,motorcycle,137735210,0,False,only 1 samples in the sparser domain,1.109184209892296,0.0,A,A,2,1,0.32960817131771336,0.9243711715412488,0.5519785244649681,1390118225399,3096248148382,1391118225764,3096248148382,,,,5.037345736976883,8.074974002032539,174.5727476458193,5.037345736976883,8.003236423450321,203.2346767322753,unclassified,,,False,True,False,False,False
w22868496_b0_B,10.0,car,motorcycle,22868496,0,False,only 1 samples in the sparser domain,5.68812955633275,0.0,B,B,1,1,0.6267631909368294,0.9895156432271716,0.787522686677007,1213118154670,2960248138070,1213118154670,2960248138070,2.0,50.0,0.0009865903751113158,2.1462823403956417,39.46445742410254,932.1525238921278,20.56606219302274,1378.896828085124,1335.0766033154146,secondary,,asphalt,False,False,False,False,False
w22868496_b1_B,10.0,car,motorcycle,22868496,1,False,only 1 samples in the sparser domain,4.631016948019279,0.0,B,B,1,2,0.6634766784518901,0.9562621362934401,0.7965284840589697,1212118154254,2958248137914,1212118154254,2959248137966,2.0,50.0,0.0009865903751113158,6.677033960220655,51.72231428292338,943.473919141484,9.499927208673533,1391.185493211604,1346.9571922598798,secondary,,asphalt,False,False,False,False,False
w22868496_b3_B,10.0,car,motorcycle,22868496,3,False,only 1 samples in the sparser domain,7.8315545615524345,0.0,B,B,1,1,0.6834320358901277,0.980886810915148,0.8187609359034628,1211118153785,2956248137705,1211118153785,2956248137705,2.0,50.0,0.0009865903751113158,3.4834870852484023,76.71101094950305,966.4677967006158,18.21677202086245,1416.2214278741465,1371.2777367912086,secondary,,asphalt,False,False,False,False,False
w23064623_b11_A,10.0,car,motorcycle,23064623,11,False,only 1 samples in the sparser domain,1.9292017367317222,7.834846728833128,A,A,2,1,0.6077281321973351,0.862369582952792,0.7239380193854271,1236118165399,2970248138851,1237118165868,2970248138851,2.0,50.0,0.03860019238136281,25.529734555813306,2.7779229633722915,860.4029302590036,42.551141502772175,1312.4819465752796,1278.3177721326201,secondary,True,asphalt,True,False,False,False,False
w23064623_b12_A,10.0,car,motorcycle,23064623,12,False,only 1 samples in the sparser domain,4.535443276176481,15.687575733478297,A,A,1,1,0.6254181525251968,0.8631754018626651,0.7347418357070341,1238118166337,2971248138955,1238118166337,2971248138955,2.0,50.0,0.03887413610404942,32.65664135904763,2.645266242403436,850.1213592066586,53.12708802772312,1299.2028515536454,1264.336395876668,secondary,True,asphalt,True,False,False,False,False
w23064623_b8_A,10.0,car,motorcycle,23064623,8,False,only 1 samples in the sparser domain,3.2256625351077814,10.612089458853546,A,A,3,1,0.39195956268574134,0.810677011567868,0.5636954913191388,1221118158420,2968248138695,1223118159358,2968248138695,2.0,50.0,0.03872232684270926,37.29047449973549,3.145084685041681,883.0265575677086,20.07710062817414,1333.1928996025638,1295.7847335378146,secondary,True,asphalt,True,False,False,False,False
w23064623_b9_A,10.0,car,motorcycle,23064623,9,False,only 1 samples in the sparser domain,5.6014144404533655,8.547540453005453,A,A,4,1,0.4840674784803066,0.7887001687328092,0.6178868035129763,1230118162639,2969248138799,1233118164045,2969248138799,2.0,50.0,0.038708475773380165,30.393880134300506,1.4210678791235947,872.6828885952792,30.737984818253782,1324.8098594767434,1289.5019919605134,secondary,True,asphalt,True,False,False,False,False
w23064624_b2_A,10.0,car,motorcycle,23064624,2,False,only 1 samples in the sparser domain,3.899955106932151,0.0,A,A,1,1,0.3748912062184995,0.9361936329111991,0.5924278523973687,1242118168056,2974248139216,1242118168056,2974248139216,1.0,50.0,0.011179741664314208,16.232373056616396,20.635138808944635,829.095013608785,60.15536314261861,1267.6067240417078,1229.0188064271692,secondary,True,asphalt,False,False,False,False,False
w245122745_b0_A,10.0,car,motorcycle,245122745,0,False,only 1 samples in the sparser domain,6.492353467855758,15.933678715733109,A,A,1,1,0.26010016895523974,0.9729892874097348,0.5030652820926031,1299118192431,3019248142184,1299118192431,3019248142184,1.0,,0.04197476235671138,6.492353467855758,170.72251396956617,368.0507358764945,57.34355655366235,836.8396393217743,887.4111836083689,unclassified,True,asphalt,False,False,False,False,False
w245122745_b10_A,10.0,car,motorcycle,245122745,10,False,only 1 samples in the sparser domain,3.1426149972731166,0.0,A,A,1,1,0.43176138660923463,0.9582565529541648,0.6432248269702248,1310118196805,3028248142601,1310118196805,3028248142601,1.0,,0.0008839042100463879,85.99491128224192,75.51157820565277,289.20883611027654,40.55900889871501,742.0681326012312,811.8309752947085,unclassified,True,asphalt,False,False,False,False,False
w245122745_b12_A,10.0,car,motorcycle,245122745,12,False,only 1 samples in the sparser domain,8.899323861753116,8.168319489997401,A,A,1,1,0.43821561580382556,0.9610531630004194,0.6489595547061798,1311118197222,3030248142757,1311118197222,3030248142757,1.0,,0.012337407972726326,68.98355517912911,52.40581417594798,271.20248599567884,65.34146618399478,718.0149002673758,793.2611080879802,unclassified,True,asphalt,False,False,False,False,False
