bin_key,osm_way_id,road_class,road_is_roundabout,curvature_1_per_m,distance_to_junction_m,distance_to_roundabout_m,road_lanes,road_maxspeed_kph,pair_quality,centroid_distance_m,heading_difference_deg,bin_key_car,position_uncertainty_m_car,speed_mps_car,acceleration_mps2_car,lateral_acceleration_mps2_car,curvature_1_per_m_car,head_angular_speed_rad_s_car,head_vibration_rms_msec2_car,head_yaw_rate_rad_s_car,head_abs_yaw_rate_rad_s_car,heart_rate_bpm_car,ppg_sqi_car,lux_car,gaze_foveal_entropy_car,gaze_road_relevant_mass_car,frames_in_bin_car,bin_key_moto,position_uncertainty_m_moto,speed_mps_moto,acceleration_mps2_moto,lateral_acceleration_mps2_moto,curvature_1_per_m_moto,head_angular_speed_rad_s_moto,head_vibration_rms_msec2_moto,head_yaw_rate_rad_s_moto,head_abs_yaw_rate_rad_s_moto,heart_rate_bpm_moto,ppg_sqi_moto,lux_moto,gaze_foveal_entropy_moto,gaze_road_relevant_mass_moto,frames_in_bin_moto,road_complexity_index_car,visual_demand_index_car,traffic_interaction_index_car,road_complexity_index_moto,visual_demand_index_moto,traffic_interaction_index_moto
w137735208_b0_A,137735208,unclassified,False,1.7357681346948655e-05,17.486531750815,111.175871033762,,,0.6181830076288177,2.8881001907388995,0.0,w137735208_b0_A,3.0651081570572587,12.457499980926514,0.15975016802614928,0.002693810361110054,1.7357681346948655e-05,0.08194240146369053,0.128854470850004,0.0031732123904695993,0.039836673385581084,68.34528293461194,0.9096054905959595,3880.117919921875,,,40,w137735208_b0_A,4.634292813484924,19.166000366210938,0.9864997243863449,0.006376093772112363,1.7357681346948655e-05,0.15580203829519432,0.29860978619268186,-0.008833932030535311,0.05776179644395064,108.70532419074694,0.7526252935932168,7050.68212890625,,,45,0.4294189958339188,0.018532563606460422,0.5047382789681422,0.4294189958339188,0.12136895793247905,1.0
w137735208_b1_A,137735208,unclassified,False,1.7357681346948655e-05,23.48142219229106,139.84831406215216,,,0.6661945775633901,0.8268854120400312,0.0,w137735208_b1_A,3.092692504375,12.388500213623047,-0.05550001527583204,0.0026640900824415545,1.7357681346948655e-05,0.08229241648965024,0.11062014091402564,-0.0067481979048171345,0.046549190327493085,64.89587681537347,0.8839232323601814,4053.0732421875,,,40,w137735208_b1_A,4.494535996516326,18.597000122070312,-0.7572497533993889,0.006005945598542037,1.7357681346948655e-05,0.11577689306508465,0.313879844950527,0.0037148284812076812,0.031221903366704544,112.67044693667842,0.8695469387108967,7869.06005859375,,,30,0.39422250247015944,0.019625511226033388,0.36629289422633493,0.39422250247015944,0.0,0.21977397098039092
w137735208_b2_A,137735208,unclassified,False,1.7357681346948655e-05,30.41595499218172,88.59630190389755,,,0.6672184177523005,1.8001438329850874,0.0,w137735208_b2_A,2.9680566283053356,12.041000366210938,-0.3124998965498049,0.0025178251641471143,1.7357681346948655e-05,0.09481923109116283,0.10710453230471934,0.002373998275873164,0.0532092909946142,68.95339761178252,0.8839232323601814,3511.31787109375,,,40,w137735208_b2_A,4.007345957395874,16.055500030517578,-1.0484999599627676,0.004482819283946385,1.7357681346948655e-05,0.13281355551721338,0.3202279619007454,0.017219278298704684,0.048381734737987625,108.70334470788828,0.8695469387108967,8218.775390625,,,60,0.35350929176934337,0.05874140964215109,0.2009947890365381,0.35350929176934337,0.03171712286202832,0.08153267231940452
w137735208_b3_A,137735208,unclassified,False,1.7357681346948655e-05,20.531515884688805,33.591259683046715,,,0.6504788921029296,5.663327249838162,0.0,w137735208_b3_A,2.421969615748634,9.763500213623047,-0.6249997719617033,0.0016564091046152776,1.7357681346948655e-05,0.08170882471695036,0.07744586867888957,0.0002029980752457864,0.03965021942244272,70.20190126475359,0.9421169628381215,2653.81396484375,,,60,w137735208_b3_A,2.9760409049505614,12.055500030517578,-1.1874998764998965,0.0025310521583323756,1.7357681346948655e-05,0.25213285664314355,0.4769042337652938,0.03894086779907706,0.08805459312229201,117.82537297062143,0.8695469387108967,8301.150390625,,,60,0.4115416442948215,0.017803203063617195,0.0,0.4115416442948215,0.4970455400775149,0.015556653958435711
w22868496_b0_B,22868496,secondary,False,0.0009865903751113,5.14500919103786,57.08028469976674,2.0,50.0,0.799643261130024,0.2900437598667015,0.0809508517441059,w22868496_b0_B,3.3260827260001067,13.305000305175781,-0.624999728578647,0.17464922064992155,0.0009865903751113158,0.1618466653658211,0.11193240081115607,0.004215133866786541,0.05699533132136067,86.771503640638,0.8553737821170798,3711.42578125,,,30,w22868496_b0_B,2.3933301165,9.861000061035156,-0.8889998465087894,0.09593537936855336,0.0009865903751113158,0.22024490113847064,0.4012674791473769,0.005999894004920148,0.06294259900549008,128.6234666860848,0.8525744631994202,8114.9384765625,,,75,0.6750177336114206,0.26803949487636197,2.6508106174673615e-08,0.6750177336114206,0.3726870186714364,0.15723906607832
w23064623_b1_A,23064623,secondary,True,0.0387301143617772,35.558156820104934,2.1233618469879683,2.0,50.0,0.5795652001531884,2.0619037615601297,4.705196300742585,w23064623_b1_A,0.5103593853663683,1.444000005722046,0.0,0.08071243697987078,0.038708475773380165,0.4800467701497433,0.2048647225018001,-0.10054909844368996,0.33172093785408635,100.9438069296258,0.760185965418564,4257.7666015625,,,73,w23064623_b1_A,2.0504320915,8.555000305175781,0.6525001847633809,2.832997094732582,0.03872232684270926,0.3818292127305536,0.5098438821431027,0.11022374913752327,0.2046290827564356,111.84312894663877,0.7183671598450885,6914.79345703125,,,45,0.8822030423595203,1.0,0.4019895930637943,0.8822030423595203,1.0,0.8889088174013761
w23064623_b2_A,23064623,secondary,True,0.0387389992459047,32.905004360040046,2.207068299728077,2.0,50.0,0.6844900999204685,13.114206026181266,29.91616231990712,w23064623_b2_A,0.8114539658543368,3.888000011444092,0.8334995175359565,0.5835015099763381,0.038654270167344226,0.3730755684040904,0.253695488211395,0.1643271104744663,0.17291519889384196,88.26798897017922,0.8279780276249231,3131.70654296875,0.15142982708668407,0.11664967181445113,53,w23064623_b2_A,2.638572718950424,10.527000427246094,1.0419997844399278,4.307943829569827,0.03874266925230203,0.484425544957339,1.2231869925986323,0.16876061797174552,0.2447749710684681,136.60359765837302,0.7183671598450885,6779.0703125,,,45,0.8925914511489369,0.4638086273979455,0.9380828015210715,0.8925914511489369,1.0,1.0
w23064624_b0_A,23064624,secondary,False,0.0126747134518142,16.303668674349115,20.748679048451784,1.0,50.0,0.6203753662913017,12.212964636482369,7.354893032810551,w23064624_b0_A,1.9418495370069886,7.415999889373779,1.6569991264099722,0.671107873339988,0.012202614870187546,0.1630725522048726,0.22770351770850847,-0.022851622155609333,0.045871710965317405,76.08713961331078,0.8279780276249231,3721.68310546875,0.24087574974664844,0.2610552950838886,25,w23064624_b0_A,3.082570121330688,12.305000305175781,-0.36150023790305674,1.692758588076413,0.011179741664314208,0.3012253956448622,0.6460114037850623,-0.1051460824590707,0.1051460824590707,133.06804473944604,0.7183671598450885,7660.96337890625,,,45,0.3998912012877715,0.5894762630686619,1.0,0.3998912012877715,0.6884995064953157,0.4076156470849673
w245122745_b0_A,245122745,unclassified,False,0.0140831551953107,26.084981459625872,150.94462132516202,1.0,,0.5661119026323813,2.5829895106811875,4.794652690983753,w245122745_b0_A,1.6732007562912927,5.25,0.9348329468041874,0.11167127417382999,0.00271276876253384,0.19779427569588034,0.13613462141893312,-0.049423269913881115,0.11677607635602581,90.33006465613752,0.9351670709768453,1777.5654296875,,,52,w245122745_b0_A,2.3817739993050844,9.666000366210938,0.23599956395185462,0.2652342782293914,0.00271276876253384,0.2536768755270918,0.4428848434140425,-0.06163809013414965,0.07474866332492412,106.45310017322421,0.750207263403931,2855.66162109375,,,75,0.37373354175710904,0.3802885477044444,1.0,0.37373354175710904,0.5030669955892277,0.6912176727547094
w245122745_b1_A,245122745,unclassified,False,0.0004061345824248,72.45730246491382,105.38532188002524,1.0,,0.6205930242887228,2.595670509190403,0.0,w245122745_b1_A,2.567585585837448,10.291000366210938,0.9444995761818009,0.02621076609580081,0.00024687803988436146,0.1419110459729529,0.13548588020555258,0.049586746711828444,0.07693277692490433,103.66460691715739,0.9522228204948305,2174.11865234375,,,40,w245122745_b1_A,2.8641804841318814,11.444000244140625,0.7499999609999026,0.03238741795408276,0.00024687803988436146,0.14357074953437435,0.31986795377167,0.017804534357736455,0.03763308884220594,108.70417560530534,0.7823193052774395,3727.470703125,,,60,0.0744681670370006,0.20578905948318074,1.0,0.0744681670370006,0.07366865977559478,0.9351868813558452
