recording_id,domain,grid_index,grid_timestamp_ns,selected_source_frame_index,selected_timestamp_ns,temporal_error_ms,interpolated,synthetic,reused_real_frame
motorcycle_5ab8604a14df,motorcycle,65,2181326479905,97,2181294377593,32.102312,False,False,False
motorcycle_5ab8604a14df,motorcycle,66,2181426479905,99,2181427694770,1.214865,False,False,False
motorcycle_5ab8604a14df,motorcycle,67,2181526479905,100,2181494356383,32.123522,False,False,False
motorcycle_5ab8604a14df,motorcycle,68,2181626479905,102,2181627679560,1.199655,False,False,False
motorcycle_5ab8604a14df,motorcycle,69,2181726479905,103,2181694328520,32.151385,False,False,False
motorcycle_5ab8604a14df,motorcycle,70,2181826479905,105,2181827632280,1.152375,False,False,False
motorcycle_5ab8604a14df,motorcycle,71,2181926479905,106,2181894275081,32.204824,False,False,False
motorcycle_5ab8604a14df,motorcycle,72,2182026479905,108,2182027604654,1.124749,False,False,False
motorcycle_5ab8604a14df,motorcycle,73,2182126479905,109,2182094266218,32.213687,False,False,False
motorcycle_5ab8604a14df,motorcycle,74,2182226479905,111,2182227589395,1.10949,False,False,False
motorcycle_5ab8604a14df,motorcycle,75,2182326479905,112,2182294238352,32.241553,False,False,False
motorcycle_5ab8604a14df,motorcycle,76,2182426479905,114,2182427561425,1.08152,False,False,False
motorcycle_5ab8604a14df,motorcycle,77,2182526479905,115,2182494222988,32.256917,False,False,False
motorcycle_5ab8604a14df,motorcycle,78,2182626479905,117,2182627546165,1.06626,False,False,False
motorcycle_5ab8604a14df,motorcycle,79,2182726479905,118,2182694207779,32.272126,False,False,False
motorcycle_5ab8604a14df,motorcycle,80,2182826479905,120,2182827530956,1.051051,False,False,False
motorcycle_5ab8604a14df,motorcycle,81,2182926479905,121,2182894192519,32.287386,False,False,False
motorcycle_5ab8604a14df,motorcycle,82,2183026479905,123,2183027515696,1.035791,False,False,False
motorcycle_5ab8604a14df,motorcycle,83,2183126479905,124,2183094177312,32.302593,False,False,False
motorcycle_5ab8604a14df,motorcycle,84,2183226479905,126,2183227500489,1.020584,False,False,False
