rank,recording_id,domain,start_frame_index,end_frame_index,start_timestamp_ns,end_timestamp_ns,duration_s,frame_count,expected_frame_count,missing_frame_estimate,largest_gap_ms,gaps_over_1p5_periods,mean_blur_variance,low_sharpness_fraction,mean_luminance,dark_fraction,clipped_fraction,mean_frame_difference,visual_diversity,static_structure_fraction,semantic_diversity,traffic_class_fraction,lane_marking_fraction,cockpit_proxy_fraction,mirror_proxy_fraction,instrument_proxy_fraction,hand_tracked_fraction,hand_proxy_frames,median_speed_mps,moving_fraction,gps_coverage,passes_quality_gate,rejection_reasons,score,score_components,rationale
47,motorcycle_5ab8604a14df,motorcycle,9225,9674,2789846039092,2819777394737,29.931355645,450,450,0,66.762625,0,610.5736083984375,0.0,0.31319206953048706,0.057686325162649155,0.001112699625082314,0.028497805818915367,0.2706634963768116,0.055908203125,0.44297326824818617,0.01625637337565422,0.03228171914815903,0.013112385757267475,0.0,0.0,0.21555555555555556,97,15.777000427246094,1.0,1.0,True,[],0.47460364900924024,"{'motion': 0.10954427969945363, 'visual_diversity': 0.13500967117988394, 'semantic_diversity': 0.10188970468796696, 'traffic': 0.025242284285407503, 'cockpit': 0.02133118246366693, 'sharpness': 0.020808748915083577, 'hands': 0.010777777777777778, 'continuity': 0.05}","['strongest contributions: visual_diversity 0.135, motion 0.110, semantic_diversity 0.102', '450 frames over 29.93 s (0 estimated missing, largest interval 66.8 ms)', 'external traffic proxy covers 1.63% of the sampled pixels', 'cockpit proxy covers 1.31% of the sampled pixels', ""hand tracking reports a hand in 21.6% of the window's frames (proxy signal, not visibility ground truth)""]"
48,motorcycle_5ab8604a14df,motorcycle,12825,13274,3029827493072,3059758254833,29.930761761,450,450,0,66.724948,0,622.3209838867188,0.0,0.3056644797325134,0.06554380804300308,0.00035214246599934995,0.028166083618998528,0.23782835144927536,0.05712890625,0.48898544152118034,0.019081849604845047,0.05434231832623482,0.01191134937107563,0.0,0.0,0.21777777777777776,98,10.77750015258789,1.0,1.0,True,[],0.46999377105468193,"{'motion': 0.10721313677028088, 'visual_diversity': 0.10696324951644098, 'semantic_diversity': 0.12440517846810696, 'traffic': 0.029716828135690414, 'cockpit': 0.019182900968463985, 'sharpness': 0.021623588306809813, 'hands': 0.010888888888888889, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.124, motion 0.107, visual_diversity 0.107', '450 frames over 29.93 s (0 estimated missing, largest interval 66.7 ms)', 'external traffic proxy covers 1.91% of the sampled pixels', 'cockpit proxy covers 1.19% of the sampled pixels', ""hand tracking reports a hand in 21.8% of the window's frames (proxy signal, not visibility ground truth)""]"
49,motorcycle_5ab8604a14df,motorcycle,3675,4124,2419875599780,2449806590154,29.930990374,450,450,0,66.826248,0,448.4991760253906,0.0,0.3304571509361267,0.045251116156578064,0.000340195867465809,0.022662043571472168,0.2036911231884058,0.07511393229166667,0.4950584693869936,0.021280698478221893,0.029273364692926407,0.030280446633696556,0.0,0.0,1.0,450,24.222000122070312,1.0,1.0,True,[],0.46852088347598964,"{'motion': 0.06853407325903185, 'visual_diversity': 0.07780464216634429, 'semantic_diversity': 0.1273769376777297, 'traffic': 0.033199018359915934, 'cockpit': 0.052039517292965715, 'sharpness': 0.009566694720002128, 'hands': 0.05, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.127, visual_diversity 0.078, motion 0.069', '450 frames over 29.93 s (0 estimated missing, largest interval 66.8 ms)', 'external traffic proxy covers 2.13% of the sampled pixels', 'cockpit proxy covers 3.03% of the sampled pixels', ""hand tracking reports a hand in 100.0% of the window's frames (proxy signal, not visibility ground truth)""]"
50,motorcycle_5ab8604a14df,motorcycle,9975,10424,2839841993999,2869773447706,29.931453707,450,450,0,66.750072,0,593.2369995117188,0.0,0.3102748692035675,0.06108100712299347,0.00020597127149812877,0.0314113013446331,0.24490489130434784,0.060139973958333336,0.43086673509054857,0.013194220140576363,0.04192595183849335,0.011936215683817863,0.0,0.0,0.4022222222222222,181,23.63800048828125,1.0,1.0,True,[],0.4683294661586569,"{'motion': 0.13001856359017896, 'visual_diversity': 0.11300773694390719, 'semantic_diversity': 0.09596552613934856, 'traffic': 0.02039292870241415, 'cockpit': 0.019227379087638583, 'sharpness': 0.019606220584058337, 'hands': 0.02011111111111111, 'continuity': 0.05}","['strongest contributions: motion 0.130, visual_diversity 0.113, semantic_diversity 0.096', '450 frames over 29.93 s (0 estimated missing, largest interval 66.8 ms)', 'external traffic proxy covers 1.32% of the sampled pixels', 'cockpit proxy covers 1.19% of the sampled pixels', ""hand tracking reports a hand in 40.2% of the window's frames (proxy signal, not visibility ground truth)""]"
51,motorcycle_5ab8604a14df,motorcycle,9075,9524,2779847066051,2809778129040,29.931062989,450,450,0,66.762625,0,616.489501953125,0.0,0.3002174496650696,0.07208792865276337,0.0013171684695407748,0.02952197566628456,0.2661911231884058,0.059407552083333336,0.4350090794812359,0.015379954129457474,0.019144918769598007,0.011881510727107525,0.0,0.0,0.15555555555555556,70,17.88800048828125,1.0,1.0,True,[],0.4679043632159792,"{'motion': 0.11674152576427879, 'visual_diversity': 0.13118955512572536, 'semantic_diversity': 0.09799252986211276, 'traffic': 0.023854349639975247, 'cockpit': 0.01912952889130163, 'sharpness': 0.021219096154807673, 'hands': 0.007777777777777778, 'continuity': 0.05}","['strongest contributions: visual_diversity 0.131, motion 0.117, semantic_diversity 0.098', '450 frames over 29.93 s (0 estimated missing, largest interval 66.8 ms)', 'external traffic proxy covers 1.54% of the sampled pixels', 'cockpit proxy covers 1.19% of the sampled pixels', ""hand tracking reports a hand in 15.6% of the window's frames (proxy signal, not visibility ground truth)""]"
52,motorcycle_5ab8604a14df,motorcycle,6750,7199,2624859383696,2654790335499,29.930951803,450,450,0,66.743366,0,695.714111328125,0.0,0.31398510932922363,0.056815098971128464,0.0005193891120143235,0.031747668981552124,0.23301630434782608,0.11474609375,0.4279989014358763,0.015276648104190826,0.02459174208343029,0.018391476944088936,0.0,0.0,0.09333333333333334,42,19.624500274658203,1.0,1.0,True,[],0.4656431878117649,"{'motion': 0.1323823518401149, 'visual_diversity': 0.10285299806576403, 'semantic_diversity': 0.09456218809064408, 'traffic': 0.02369074984207979, 'cockpit': 0.030773838854866342, 'sharpness': 0.026714394451629122, 'hands': 0.004666666666666667, 'continuity': 0.05}","['strongest contributions: motion 0.132, visual_diversity 0.103, semantic_diversity 0.095', '450 frames over 29.93 s (0 estimated missing, largest interval 66.7 ms)', 'external traffic proxy covers 1.53% of the sampled pixels', 'cockpit proxy covers 1.84% of the sampled pixels', ""hand tracking reports a hand in 9.3% of the window's frames (proxy signal, not visibility ground truth)""]"
53,motorcycle_5ab8604a14df,motorcycle,3225,3674,2389877767186,2419808963633,29.931196447,450,450,0,66.794291,0,407.73040771484375,0.0,0.3122903108596802,0.0605713315308094,5.395620974013582e-05,0.028625328093767166,0.20623867753623187,0.06990559895833333,0.46017238066974814,0.003219491569325328,0.030181435868144035,0.05101974308490753,0.0,0.0,0.25555555555555554,115,30.05500030517578,1.0,1.0,True,[],0.463975776679712,"{'motion': 0.11044042909616968, 'visual_diversity': 0.0799806576402321, 'semantic_diversity': 0.11030587235020264, 'traffic': 0.004596525984308606, 'cockpit': 0.08913568465466616, 'sharpness': 0.006738829176355116, 'hands': 0.012777777777777777, 'continuity': 0.05}","['strongest contributions: motion 0.110, semantic_diversity 0.110, cockpit 0.089', '450 frames over 29.93 s (0 estimated missing, largest interval 66.8 ms)', 'external traffic proxy covers 0.32% of the sampled pixels', 'cockpit proxy covers 5.10% of the sampled pixels', ""hand tracking reports a hand in 25.6% of the window's frames (proxy signal, not visibility ground truth)""]"
54,motorcycle_5ab8604a14df,motorcycle,10050,10499,2844842132498,2874772733373,29.930600875,450,450,0,66.750072,0,600.9242553710938,0.0,0.31018921732902527,0.06067371368408203,0.00016504430095665157,0.032300930470228195,0.2502264492753623,0.060384114583333336,0.41595425108083867,0.008112477138638496,0.032540105283260345,0.013862213119864464,0.0,0.0,0.32222222222222224,145,23.83300018310547,1.0,1.0,True,[],0.4637600245322693,"{'motion': 0.13627033885947668, 'visual_diversity': 0.1175531914893617, 'semantic_diversity': 0.08866829110710442, 'traffic': 0.012345265210107486, 'cockpit': 0.022672390995051615, 'sharpness': 0.02013943576005622, 'hands': 0.016111111111111114, 'continuity': 0.05}","['strongest contributions: motion 0.136, visual_diversity 0.118, semantic_diversity 0.089', '450 frames over 29.93 s (0 estimated missing, largest interval 66.8 ms)', 'external traffic proxy covers 0.81% of the sampled pixels', 'cockpit proxy covers 1.39% of the sampled pixels', ""hand tracking reports a hand in 32.2% of the window's frames (proxy signal, not visibility ground truth)""]"
55,motorcycle_5ab8604a14df,motorcycle,12075,12524,2979831460227,3009762479519,29.931019292,450,450,0,66.705636,0,775.6619262695312,0.0,0.3137342035770416,0.054040756076574326,0.0007751589291729033,0.024816012009978294,0.1994451992753623,0.21866861979166666,0.49567171499467005,0.027056656777858734,0.05349821597337723,0.011442961171269417,0.0,0.0,0.6733333333333333,303,11.472000122070312,1.0,1.0,True,[],0.46214352554504834,"{'motion': 0.08367086029451996, 'visual_diversity': 0.07417794970986459, 'semantic_diversity': 0.12767702164286876, 'traffic': 0.04234607060623128, 'cockpit': 0.01834509978793058, 'sharpness': 0.032259856836966465, 'hands': 0.03366666666666667, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.128, motion 0.084, visual_diversity 0.074', '450 frames over 29.93 s (0 estimated missing, largest interval 66.7 ms)', 'external traffic proxy covers 2.71% of the sampled pixels', 'cockpit proxy covers 1.14% of the sampled pixels', ""hand tracking reports a hand in 67.3% of the window's frames (proxy signal, not visibility ground truth)""]"
56,motorcycle_5ab8604a14df,motorcycle,12675,13124,3019827703436,3049759039852,29.931336416,450,450,0,66.775208,0,613.5191650390625,0.0,0.29874640703201294,0.06881682574748993,0.0005315602757036686,0.029410868883132935,0.23873414855072464,0.053955078125,0.49162877480147904,0.01741400919854641,0.07182978838682175,0.009329335764050484,0.0,0.0,0.0,0,10.222000122070312,1.0,1.0,True,[],0.4620494466975128,"{'motion': 0.11596073451186345, 'visual_diversity': 0.10773694390715667, 'semantic_diversity': 0.1256986601041867, 'traffic': 0.027075565414682087, 'cockpit': 0.014564479648255708, 'sharpness': 0.021013063111368215, 'hands': 0.0, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.126, motion 0.116, visual_diversity 0.108', '450 frames over 29.93 s (0 estimated missing, largest interval 66.8 ms)', 'external traffic proxy covers 1.74% of the sampled pixels', 'cockpit proxy covers 0.93% of the sampled pixels', ""hand tracking reports a hand in 0.0% of the window's frames (proxy signal, not visibility ground truth)""]"
