rank,recording_id,domain,start_frame_index,end_frame_index,start_timestamp_ns,end_timestamp_ns,duration_s,frame_count,expected_frame_count,missing_frame_estimate,largest_gap_ms,gaps_over_1p5_periods,mean_blur_variance,low_sharpness_fraction,mean_luminance,dark_fraction,clipped_fraction,mean_frame_difference,visual_diversity,static_structure_fraction,semantic_diversity,traffic_class_fraction,lane_marking_fraction,cockpit_proxy_fraction,mirror_proxy_fraction,instrument_proxy_fraction,hand_tracked_fraction,hand_proxy_frames,median_speed_mps,moving_fraction,gps_coverage,passes_quality_gate,rejection_reasons,score,score_components,rationale
1,motorcycle_5ab8604a14df,motorcycle,13875,14324,3099822119217,3129751762010,29.929642793,450,450,0,66.81325,0,806.5361328125,0.0,0.33177974820137024,0.0546441413462162,0.0011194403050467372,0.0396469384431839,0.34414628623188404,0.052897135416666664,0.5019217618755292,0.010231753811240196,0.03795120492577553,0.029022442176938057,0.0,0.0,0.6933333333333334,312,12.138500213623047,1.0,1.0,True,[],0.7009635165194277,"{'motion': 0.1878936385605377, 'visual_diversity': 0.19777562862669246, 'semantic_diversity': 0.1307354028637624, 'traffic': 0.015701441526322222, 'cockpit': 0.049789337592826784, 'sharpness': 0.034401400682619404, 'hands': 0.03466666666666667, 'continuity': 0.05}","['strongest contributions: visual_diversity 0.198, motion 0.188, semantic_diversity 0.131', '450 frames over 29.93 s (0 estimated missing, largest interval 66.8 ms)', 'external traffic proxy covers 1.02% of the sampled pixels', 'cockpit proxy covers 2.90% of the sampled pixels', ""hand tracking reports a hand in 69.3% of the window's frames (proxy signal, not visibility ground truth)""]"
2,motorcycle_5ab8604a14df,motorcycle,13800,14249,3094822587383,3124753608290,29.931020907,450,450,0,66.81325,0,838.4479370117188,0.0,0.325347900390625,0.055538903921842575,0.00066536566009745,0.04106491059064865,0.31872735507246375,0.049641927083333336,0.5038843035409104,0.012183294631540775,0.0457831472158432,0.027510127052664757,0.0,0.0,0.6977777777777778,314,12.138500213623047,1.0,1.0,True,[],0.6929979305742645,"{'motion': 0.19785828894014756, 'visual_diversity': 0.17606382978723403, 'semantic_diversity': 0.13169574775221518, 'traffic': 0.018791984241152568, 'cockpit': 0.04708427500376305, 'sharpness': 0.036614915960863297, 'hands': 0.03488888888888889, 'continuity': 0.05}","['strongest contributions: motion 0.198, visual_diversity 0.176, semantic_diversity 0.132', '450 frames over 29.93 s (0 estimated missing, largest interval 66.8 ms)', 'external traffic proxy covers 1.22% of the sampled pixels', 'cockpit proxy covers 2.75% of the sampled pixels', ""hand tracking reports a hand in 69.8% of the window's frames (proxy signal, not visibility ground truth)""]"
3,motorcycle_5ab8604a14df,motorcycle,13725,14174,3089822954155,3119753722593,29.930768438,450,450,0,66.81325,0,834.122802734375,0.0,0.32423898577690125,0.05546588823199272,0.0006709448643960059,0.04117273911833763,0.309273097826087,0.050862630208333336,0.5167703454683563,0.0115220807492733,0.06383305042982101,0.028197789564728737,0.0,0.0,0.6088888888888889,274,13.444000244140625,1.0,1.0,True,[],0.6874243078862756,"{'motion': 0.1986160425965151, 'visual_diversity': 0.16798839458413928, 'semantic_diversity': 0.13800136903695207, 'traffic': 0.017744857926637818, 'cockpit': 0.0483142899030584, 'sharpness': 0.03631490939452847, 'hands': 0.030444444444444448, 'continuity': 0.05}","['strongest contributions: motion 0.199, visual_diversity 0.168, semantic_diversity 0.138', '450 frames over 29.93 s (0 estimated missing, largest interval 66.8 ms)', 'external traffic proxy covers 1.15% of the sampled pixels', 'cockpit proxy covers 2.82% of the sampled pixels', ""hand tracking reports a hand in 60.9% of the window's frames (proxy signal, not visibility ground truth)""]"
4,motorcycle_5ab8604a14df,motorcycle,13650,14099,3084823270883,3114753976509,29.930705626,450,450,0,66.81325,0,742.2455444335938,0.0,0.32122957706451416,0.056701529771089554,0.00037352414801716805,0.0374629907310009,0.2860054347826087,0.049723307291666664,0.5286992034734026,0.01009046845138073,0.08144554495811462,0.03259842470288277,0.0,0.0,0.44222222222222224,199,14.805500030517578,1.0,1.0,True,[],0.6382153466038794,"{'motion': 0.17254617532710115, 'visual_diversity': 0.14811411992263057, 'semantic_diversity': 0.14383860450170832, 'traffic': 0.015477696045272738, 'cockpit': 0.05618566094820346, 'sharpness': 0.029941978747852024, 'hands': 0.022111111111111113, 'continuity': 0.05}","['strongest contributions: motion 0.173, visual_diversity 0.148, semantic_diversity 0.144', '450 frames over 29.93 s (0 estimated missing, largest interval 66.8 ms)', 'external traffic proxy covers 1.01% of the sampled pixels', 'cockpit proxy covers 3.26% of the sampled pixels', ""hand tracking reports a hand in 44.2% of the window's frames (proxy signal, not visibility ground truth)""]"
5,motorcycle_5ab8604a14df,motorcycle,13575,14024,3079823568697,3109754571477,29.93100278,450,450,0,66.81325,0,664.363525390625,0.0,0.31523633003234863,0.058132898062467575,0.0001883899822132662,0.03324452042579651,0.25662364130434784,0.058430989583333336,0.5412905084594387,0.009547480382025242,0.09442705661058426,0.036126937717199326,0.0,0.0,0.27555555555555555,124,14.458000183105469,1.0,1.0,True,[],0.5813511845585323,"{'motion': 0.1429013181955384, 'visual_diversity': 0.12301740812379112, 'semantic_diversity': 0.15, 'traffic': 0.01461779713640547, 'cockpit': 0.06249707607382996, 'sharpness': 0.024539807251189573, 'hands': 0.013777777777777778, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.150, motion 0.143, visual_diversity 0.123', '450 frames over 29.93 s (0 estimated missing, largest interval 66.8 ms)', 'external traffic proxy covers 0.95% of the sampled pixels', 'cockpit proxy covers 3.61% of the sampled pixels', ""hand tracking reports a hand in 27.6% of the window's frames (proxy signal, not visibility ground truth)""]"
6,motorcycle_5ab8604a14df,motorcycle,11775,12224,2959833218769,2989764064154,29.930845385,450,450,0,66.68672,0,665.1185913085938,0.0,0.3068036139011383,0.056395597755908966,0.0008873960468918085,0.02740924246609211,0.24048913043478262,0.10636393229166667,0.5264222776463979,0.047597486525774,0.04462506249547005,0.022787362337112427,0.0,0.0,0.6377777777777778,287,11.401999950408936,1.0,1.0,True,[],0.5738480945408725,"{'motion': 0.10189451503635097, 'visual_diversity': 0.10923597678916828, 'semantic_diversity': 0.14272441970863017, 'traffic': 0.07487539875229196, 'cockpit': 0.0386367140794949, 'sharpness': 0.02459218128604737, 'hands': 0.03188888888888889, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.143, visual_diversity 0.109, motion 0.102', '450 frames over 29.93 s (0 estimated missing, largest interval 66.7 ms)', 'external traffic proxy covers 4.76% of the sampled pixels', 'cockpit proxy covers 2.28% of the sampled pixels', ""hand tracking reports a hand in 63.8% of the window's frames (proxy signal, not visibility ground truth)""]"
7,motorcycle_5ab8604a14df,motorcycle,13125,13574,3049825701259,3079756907290,29.931206031,450,450,0,66.724948,0,717.2695922851562,0.0,0.30661213397979736,0.05853893607854843,0.0002223241317551583,0.030027927830815315,0.2616621376811594,0.043294270833333336,0.5015837257274661,0.022295691072940826,0.043170616030693054,0.012578667141497135,0.0,0.0,0.7422222222222222,334,12.985499858856201,1.0,1.0,True,[],0.5486917226127721,"{'motion': 0.12029705147567585, 'visual_diversity': 0.12732108317214702, 'semantic_diversity': 0.13056998915936516, 'traffic': 0.03480640363035686, 'cockpit': 0.020376525436547013, 'sharpness': 0.02820955862756913, 'hands': 0.037111111111111116, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.131, visual_diversity 0.127, motion 0.120', '450 frames over 29.93 s (0 estimated missing, largest interval 66.7 ms)', 'external traffic proxy covers 2.23% of the sampled pixels', 'cockpit proxy covers 1.26% of the sampled pixels', ""hand tracking reports a hand in 74.2% of the window's frames (proxy signal, not visibility ground truth)""]"
8,motorcycle_5ab8604a14df,motorcycle,3450,3899,2404876560196,2434807748686,29.93118849,450,450,0,66.826248,0,478.8248596191406,0.0,0.3238484561443329,0.051038648933172226,0.0003563248901627958,0.028637459501624107,0.2516983695652174,0.066650390625,0.48882595688458524,0.014572708867490292,0.02926771529018879,0.040117502212524414,0.0,0.0,0.7533333333333333,339,25.05500030517578,1.0,1.0,True,[],0.54521104039646,"{'motion': 0.11052568129108971, 'visual_diversity': 0.11881044487427468, 'semantic_diversity': 0.12432713668268017, 'traffic': 0.022575961846339587, 'cockpit': 0.06963495795591258, 'sharpness': 0.011670191079496555, 'hands': 0.03766666666666667, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.124, visual_diversity 0.119, motion 0.111', '450 frames over 29.93 s (0 estimated missing, largest interval 66.8 ms)', 'external traffic proxy covers 1.46% of the sampled pixels', 'cockpit proxy covers 4.01% of the sampled pixels', ""hand tracking reports a hand in 75.3% of the window's frames (proxy signal, not visibility ground truth)""]"
9,motorcycle_5ab8604a14df,motorcycle,11850,12299,2964832808113,2994763696310,29.930888197,450,450,0,66.68672,0,724.6406860351562,0.0,0.31026729941368103,0.0552288219332695,0.0008827847777865827,0.02689509280025959,0.24371603260869565,0.13191731770833334,0.5073498046550354,0.027178503572940826,0.04281887784600258,0.023488590493798256,0.0,0.0,0.7,315,11.66599988937378,1.0,1.0,True,[],0.5398160618439208,"{'motion': 0.09828138224529125, 'visual_diversity': 0.11199226305609283, 'semantic_diversity': 0.13339154679668075, 'traffic': 0.042539032352636556, 'cockpit': 0.03989099370852423, 'sharpness': 0.028720843684695185, 'hands': 0.034999999999999996, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.133, visual_diversity 0.112, motion 0.098', '450 frames over 29.93 s (0 estimated missing, largest interval 66.7 ms)', 'external traffic proxy covers 2.72% of the sampled pixels', 'cockpit proxy covers 2.35% of the sampled pixels', ""hand tracking reports a hand in 70.0% of the window's frames (proxy signal, not visibility ground truth)""]"
10,motorcycle_5ab8604a14df,motorcycle,13200,13649,3054825018145,3084756615978,29.931597833,450,450,0,66.724948,0,710.957763671875,0.0,0.304800420999527,0.058803632855415344,0.00021527224453166127,0.029959330335259438,0.23618659420289856,0.057535807291666664,0.5161451691900963,0.021249502897262573,0.052839040756225586,0.018413404002785683,0.0,0.0,0.6911111111111111,311,14.15250015258789,1.0,1.0,True,[],0.5393613439292723,"{'motion': 0.11981498977837571, 'visual_diversity': 0.10556092843326886, 'semantic_diversity': 0.13769544694938593, 'traffic': 0.03314961571639148, 'cockpit': 0.03081305956040367, 'sharpness': 0.02777174793589107, 'hands': 0.034555555555555555, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.138, motion 0.120, visual_diversity 0.106', '450 frames over 29.93 s (0 estimated missing, largest interval 66.7 ms)', 'external traffic proxy covers 2.12% of the sampled pixels', 'cockpit proxy covers 1.84% of the sampled pixels', ""hand tracking reports a hand in 69.1% of the window's frames (proxy signal, not visibility ground truth)""]"
11,motorcycle_5ab8604a14df,motorcycle,11625,12074,2949833920592,2979764798770,29.930878178,450,450,0,66.693376,0,594.08154296875,0.0,0.3081400692462921,0.05534706264734268,0.0007119090878404677,0.027111532166600227,0.23109148550724637,0.07820638020833333,0.5204494398155113,0.04227520897984505,0.052233435213565826,0.01644219271838665,0.0,0.0,0.6355555555555555,286,11.069000244140625,1.0,1.0,True,[],0.5359895394202756,"{'motion': 0.09980238716617412, 'visual_diversity': 0.10120889748549322, 'semantic_diversity': 0.13980168722267547, 'traffic': 0.06644681456651899, 'cockpit': 0.02728717410506224, 'sharpness': 0.019664801096573682, 'hands': 0.03177777777777778, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.140, visual_diversity 0.101, motion 0.100', '450 frames over 29.93 s (0 estimated missing, largest interval 66.7 ms)', 'external traffic proxy covers 4.23% of the sampled pixels', 'cockpit proxy covers 1.64% of the sampled pixels', ""hand tracking reports a hand in 63.6% of the window's frames (proxy signal, not visibility ground truth)""]"
12,motorcycle_5ab8604a14df,motorcycle,3525,3974,2409876275884,2439807356238,29.931080354,450,450,0,66.826248,0,491.1770935058594,0.0,0.32769203186035156,0.04737906903028488,0.0003432111407164484,0.026883140206336975,0.22593976449275363,0.07421875,0.4966980071012492,0.018988262861967087,0.029414651915431023,0.03884955123066902,0.0,0.0,0.92,414,24.222000122070312,1.0,1.0,True,[],0.5286477147576689,"{'motion': 0.09819738664651925, 'visual_diversity': 0.09680851063829787, 'semantic_diversity': 0.12817922467682127, 'traffic': 0.029568620205117056, 'cockpit': 0.06736698700810381, 'sharpness': 0.012526985582809633, 'hands': 0.046000000000000006, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.128, motion 0.098, visual_diversity 0.097', '450 frames over 29.93 s (0 estimated missing, largest interval 66.8 ms)', 'external traffic proxy covers 1.90% of the sampled pixels', 'cockpit proxy covers 3.88% of the sampled pixels', ""hand tracking reports a hand in 92.0% of the window's frames (proxy signal, not visibility ground truth)""]"
13,motorcycle_5ab8604a14df,motorcycle,11700,12149,2954833478071,2984764519873,29.931041802,450,450,0,66.68672,0,618.3894653320312,0.0,0.3071638345718384,0.05623793601989746,0.000896153855137527,0.02656998485326767,0.21393795289855072,0.09659830729166667,0.5243508308052528,0.04291721060872078,0.05187559500336647,0.01843329519033432,0.0,0.0,0.6355555555555555,286,11.069000244140625,1.0,1.0,True,[],0.525705380057798,"{'motion': 0.09599672028405357, 'visual_diversity': 0.08655705996131528, 'semantic_diversity': 0.1417107834528063, 'traffic': 0.0674635155426869, 'cockpit': 0.030848638724049034, 'sharpness': 0.02135088431510905, 'hands': 0.03177777777777778, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.142, motion 0.096, visual_diversity 0.087', '450 frames over 29.93 s (0 estimated missing, largest interval 66.7 ms)', 'external traffic proxy covers 4.29% of the sampled pixels', 'cockpit proxy covers 1.84% of the sampled pixels', ""hand tracking reports a hand in 63.6% of the window's frames (proxy signal, not visibility ground truth)""]"
14,motorcycle_5ab8604a14df,motorcycle,3375,3824,2399877027737,2429808166707,29.93113897,450,450,0,66.826248,0,466.2955627441406,0.0,0.31887948513031006,0.055410485714673996,0.0003545139916241169,0.029619881883263588,0.24513134057971014,0.05224609375,0.47434610166058855,0.00851372443139553,0.029896605759859085,0.040600359439849854,0.0,0.0,0.5888888888888889,265,28.5,1.0,1.0,True,[],0.5215972114945973,"{'motion': 0.11742955142397214, 'visual_diversity': 0.11320116054158609, 'semantic_diversity': 0.11724160306309189, 'traffic': 0.0129806974206849, 'cockpit': 0.07049863973792526, 'sharpness': 0.010801114862892517, 'hands': 0.029444444444444447, 'continuity': 0.05}","['strongest contributions: motion 0.117, semantic_diversity 0.117, visual_diversity 0.113', '450 frames over 29.93 s (0 estimated missing, largest interval 66.8 ms)', 'external traffic proxy covers 0.85% of the sampled pixels', 'cockpit proxy covers 4.06% of the sampled pixels', ""hand tracking reports a hand in 58.9% of the window's frames (proxy signal, not visibility ground truth)""]"
15,motorcycle_5ab8604a14df,motorcycle,9525,9974,2809844790498,2839775307019,29.930516521,450,450,0,66.774938,0,530.3278198242188,0.0,0.3183259963989258,0.05520721524953842,0.00020416764891706407,0.026238683611154556,0.3020833333333333,0.056559244791666664,0.4642754932709101,0.015028438530862331,0.03593840450048447,0.02268677018582821,0.0,0.0,0.4777777777777778,215,15.0,1.0,1.0,True,[],0.518715376934907,"{'motion': 0.09366853559164605, 'visual_diversity': 0.16184719535783365, 'semantic_diversity': 0.11231367849403126, 'traffic': 0.023297674647022697, 'cockpit': 0.0384567859277328, 'sharpness': 0.015242618027751592, 'hands': 0.02388888888888889, 'continuity': 0.05}","['strongest contributions: visual_diversity 0.162, semantic_diversity 0.112, motion 0.094', '450 frames over 29.93 s (0 estimated missing, largest interval 66.8 ms)', 'external traffic proxy covers 1.50% of the sampled pixels', 'cockpit proxy covers 2.27% of the sampled pixels', ""hand tracking reports a hand in 47.8% of the window's frames (proxy signal, not visibility ground truth)""]"
16,motorcycle_5ab8604a14df,motorcycle,11550,11999,2944834318727,2974765298561,29.930979834,450,450,0,66.693376,0,609.1849975585938,0.0,0.3101915121078491,0.05541817471385002,0.000537272950168699,0.026614205911755562,0.23182744565217392,0.0751953125,0.5110858774039887,0.040015093982219696,0.052824120968580246,0.010939760133624077,0.0,0.0,0.6511111111111111,293,11.429999828338623,1.0,1.0,True,[],0.5169453654273172,"{'motion': 0.09630747912937783, 'visual_diversity': 0.10183752417794972, 'semantic_diversity': 0.13521974664111464, 'traffic': 0.0628676007125582, 'cockpit': 0.01744502924055273, 'sharpness': 0.020712429970208487, 'hands': 0.03255555555555555, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.135, visual_diversity 0.102, motion 0.096', '450 frames over 29.93 s (0 estimated missing, largest interval 66.7 ms)', 'external traffic proxy covers 4.00% of the sampled pixels', 'cockpit proxy covers 1.09% of the sampled pixels', ""hand tracking reports a hand in 65.1% of the window's frames (proxy signal, not visibility ground truth)""]"
17,motorcycle_5ab8604a14df,motorcycle,9375,9824,2799845367519,2829776319207,29.930951688,450,450,0,66.737261,0,557.703857421875,0.0,0.31939229369163513,0.05481618270277977,0.0006825992022641003,0.026178626343607903,0.30502717391304346,0.055501302083333336,0.46126484637704773,0.01624077744781971,0.030241113156080246,0.020521150901913643,0.0,0.0,0.34,153,14.179999828338623,1.0,1.0,True,[],0.5123909154995842,"{'motion': 0.09324648944995907, 'visual_diversity': 0.16436170212765958, 'semantic_diversity': 0.1108404565969077, 'traffic': 0.025217585913409044, 'cockpit': 0.034583164872804016, 'sharpness': 0.017141516538844697, 'hands': 0.017, 'continuity': 0.05}","['strongest contributions: visual_diversity 0.164, semantic_diversity 0.111, motion 0.093', '450 frames over 29.93 s (0 estimated missing, largest interval 66.7 ms)', 'external traffic proxy covers 1.62% of the sampled pixels', 'cockpit proxy covers 2.05% of the sampled pixels', ""hand tracking reports a hand in 34.0% of the window's frames (proxy signal, not visibility ground truth)""]"
18,motorcycle_5ab8604a14df,motorcycle,13050,13499,3044826384926,3074757426156,29.93104123,450,450,0,66.724948,0,683.5167846679688,0.0,0.3064880073070526,0.05837251618504524,0.00023512080952059478,0.029221899807453156,0.24484827898550723,0.060791015625,0.4892165764845671,0.02166476473212242,0.05582207441329956,0.009194380603730679,0.0,0.0,0.7177777777777777,323,12.985499858856201,1.0,1.0,True,[],0.5119979990835732,"{'motion': 0.11463277417422653, 'visual_diversity': 0.1129593810444874, 'semantic_diversity': 0.12451828143277094, 'traffic': 0.03380724194953147, 'cockpit': 0.01432308673382749, 'sharpness': 0.025868344859840506, 'hands': 0.03588888888888889, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.125, motion 0.115, visual_diversity 0.113', '450 frames over 29.93 s (0 estimated missing, largest interval 66.7 ms)', 'external traffic proxy covers 2.17% of the sampled pixels', 'cockpit proxy covers 0.92% of the sampled pixels', ""hand tracking reports a hand in 71.8% of the window's frames (proxy signal, not visibility ground truth)""]"
19,motorcycle_5ab8604a14df,motorcycle,11925,12374,2969832219479,2999763290531,29.931071052,450,450,0,66.686719,0,754.7664794921875,0.0,0.30894869565963745,0.055615268647670746,0.0009111193940043449,0.026130497455596924,0.21218297101449277,0.17081705729166666,0.5135349301850161,0.028172466903924942,0.052717648446559906,0.018531855195760727,0.0,0.0,0.7977777777777778,359,11.66599988937378,1.0,1.0,True,[],0.5102218660354526,"{'motion': 0.09290826874298237, 'visual_diversity': 0.0850580270793037, 'semantic_diversity': 0.13641815957740958, 'traffic': 0.04411311479017856, 'cockpit': 0.03102493199730781, 'sharpness': 0.03081047495938165, 'hands': 0.03988888888888889, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.136, motion 0.093, visual_diversity 0.085', '450 frames over 29.93 s (0 estimated missing, largest interval 66.7 ms)', 'external traffic proxy covers 2.82% of the sampled pixels', 'cockpit proxy covers 1.85% of the sampled pixels', ""hand tracking reports a hand in 79.8% of the window's frames (proxy signal, not visibility ground truth)""]"
20,motorcycle_5ab8604a14df,motorcycle,9300,9749,2794845911999,2824777027655,29.931115656,450,450,0,66.762625,0,587.5635986328125,0.0,0.3161962628364563,0.05585969239473343,0.0009673945605754852,0.028195152059197426,0.29483695652173914,0.054850260416666664,0.4511001817532971,0.016734031960368156,0.029739946126937866,0.016977494582533836,0.0,0.0,0.34,153,14.179999828338623,1.0,1.0,True,[],0.509397640434323,"{'motion': 0.10741741218160013, 'visual_diversity': 0.15565764023210835, 'semantic_diversity': 0.1058665068018803, 'traffic': 0.025998724654887687, 'cockpit': 0.02824466307235432, 'sharpness': 0.01921269349149211, 'hands': 0.017, 'continuity': 0.05}","['strongest contributions: visual_diversity 0.156, motion 0.107, semantic_diversity 0.106', '450 frames over 29.93 s (0 estimated missing, largest interval 66.8 ms)', 'external traffic proxy covers 1.67% of the sampled pixels', 'cockpit proxy covers 1.70% of the sampled pixels', ""hand tracking reports a hand in 34.0% of the window's frames (proxy signal, not visibility ground truth)""]"
21,motorcycle_5ab8604a14df,motorcycle,12000,12449,2974831960019,3004762802665,29.930842646,450,450,0,66.686719,0,780.0382080078125,0.0,0.3106120824813843,0.054701562970876694,0.0009322036057710648,0.025207608938217163,0.21614583333333334,0.23030598958333334,0.511067488316992,0.02952134981751442,0.05684859678149223,0.01568807102739811,0.0,0.0,0.8244444444444444,371,11.513500213623047,1.0,1.0,True,[],0.5060496354634707,"{'motion': 0.0864227665901452, 'visual_diversity': 0.08844294003868473, 'semantic_diversity': 0.13521074817447715, 'traffic': 0.04624926291395238, 'cockpit': 0.025938284352422344, 'sharpness': 0.03256341117156664, 'hands': 0.04122222222222222, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.135, visual_diversity 0.088, motion 0.086', '450 frames over 29.93 s (0 estimated missing, largest interval 66.7 ms)', 'external traffic proxy covers 2.95% of the sampled pixels', 'cockpit proxy covers 1.57% of the sampled pixels', ""hand tracking reports a hand in 82.4% of the window's frames (proxy signal, not visibility ground truth)""]"
22,motorcycle_5ab8604a14df,motorcycle,9600,10049,2814844467561,2844775477279,29.931009718,450,450,0,66.774938,0,562.937744140625,0.0,0.31677481532096863,0.05619501695036888,0.00023620048887096345,0.027763135731220245,0.2703238224637681,0.055338541666666664,0.452884443611631,0.017500586807727814,0.03886967524886131,0.02193399891257286,0.0,0.0,0.4888888888888889,220,22.13800048828125,1.0,1.0,True,[],0.5021125981696009,"{'motion': 0.10438146279834015, 'visual_diversity': 0.1347195357833656, 'semantic_diversity': 0.106739612726477, 'traffic': 0.02721267338421039, 'cockpit': 0.03711031165347504, 'sharpness': 0.01750455737928814, 'hands': 0.024444444444444446, 'continuity': 0.05}","['strongest contributions: visual_diversity 0.135, semantic_diversity 0.107, motion 0.104', '450 frames over 29.93 s (0 estimated missing, largest interval 66.8 ms)', 'external traffic proxy covers 1.75% of the sampled pixels', 'cockpit proxy covers 2.19% of the sampled pixels', ""hand tracking reports a hand in 48.9% of the window's frames (proxy signal, not visibility ground truth)""]"
23,motorcycle_5ab8604a14df,motorcycle,13275,13724,3059824935207,3089756292696,29.931357489,450,450,0,66.699636,0,659.4955444335938,0.0,0.3053445518016815,0.0597185418009758,0.00014437483332585543,0.027980562299489975,0.21280570652173914,0.14461263020833334,0.5253866490292392,0.019699661061167717,0.06766537576913834,0.02128160372376442,0.0,0.0,0.5244444444444445,236,14.15250015258789,1.0,1.0,True,[],0.500779963852892,"{'motion': 0.10590940517712377, 'visual_diversity': 0.0855899419729207, 'semantic_diversity': 0.14221764797156713, 'traffic': 0.030695220529851387, 'cockpit': 0.03594337905443825, 'sharpness': 0.024202146924768644, 'hands': 0.026222222222222227, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.142, motion 0.106, visual_diversity 0.086', '450 frames over 29.93 s (0 estimated missing, largest interval 66.7 ms)', 'external traffic proxy covers 1.97% of the sampled pixels', 'cockpit proxy covers 2.13% of the sampled pixels', ""hand tracking reports a hand in 52.4% of the window's frames (proxy signal, not visibility ground truth)""]"
24,motorcycle_5ab8604a14df,motorcycle,3600,4049,2414875700706,2444806970394,29.931269688,450,450,0,66.826248,0,470.2320556640625,0.0,0.3288472592830658,0.04616371914744377,0.00034235819475725293,0.024836860597133636,0.22831748188405798,0.07535807291666667,0.4920159674207415,0.019459135830402374,0.029786059632897377,0.02881876565515995,0.0,0.0,1.0,450,24.222000122070312,1.0,1.0,True,[],0.49935845983189886,"{'motion': 0.08381737155165803, 'visual_diversity': 0.09883945841392651, 'semantic_diversity': 0.12588812790469991, 'traffic': 0.030314314585203905, 'cockpit': 0.04942502348230215, 'sharpness': 0.011074163894108348, 'hands': 0.05, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.126, visual_diversity 0.099, motion 0.084', '450 frames over 29.93 s (0 estimated missing, largest interval 66.8 ms)', 'external traffic proxy covers 1.95% of the sampled pixels', 'cockpit proxy covers 2.88% of the sampled pixels', ""hand tracking reports a hand in 100.0% of the window's frames (proxy signal, not visibility ground truth)""]"
25,motorcycle_5ab8604a14df,motorcycle,3300,3749,2394877488914,2424808299352,29.930810438,450,450,0,66.826248,0,438.5774230957031,0.0,0.31706032156944275,0.05738595873117447,0.000338495709002018,0.028962690383195877,0.23873414855072464,0.058837890625,0.4654920856685905,0.005013247020542622,0.029124170541763306,0.04479324445128441,0.0,0.0,0.4222222222222222,190,29.361000061035156,1.0,1.0,True,[],0.49888235505248135,"{'motion': 0.11281120716217918, 'visual_diversity': 0.10773694390715667, 'semantic_diversity': 0.11290900256335028, 'traffic': 0.00743719310450391, 'cockpit': 0.07799841025706741, 'sharpness': 0.008878486947112808, 'hands': 0.021111111111111112, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.113, motion 0.113, visual_diversity 0.108', '450 frames over 29.93 s (0 estimated missing, largest interval 66.8 ms)', 'external traffic proxy covers 0.50% of the sampled pixels', 'cockpit proxy covers 4.48% of the sampled pixels', ""hand tracking reports a hand in 42.2% of the window's frames (proxy signal, not visibility ground truth)""]"
26,motorcycle_5ab8604a14df,motorcycle,7875,8324,2699852932499,2729784328623,29.931396124,450,450,0,66.743604,0,585.5928955078125,0.0,0.2819701135158539,0.07665007561445236,0.0007528623100370169,0.020231526345014572,0.25430253623188404,0.11588541666666667,0.45205715013409914,0.09197025746107101,0.012568945996463299,0.0035244410391896963,0.0,0.0,0.008888888888888889,4,6.2769999504089355,0.8977777777777778,1.0,True,[],0.49767123745560243,"{'motion': 0.05145386865376405, 'visual_diversity': 0.1210348162475822, 'semantic_diversity': 0.10633478714931213, 'traffic': 0.14514599853907786, 'cockpit': 0.0041813238484882526, 'sharpness': 0.019075998572933503, 'hands': 0.00044444444444444447, 'continuity': 0.05}","['strongest contributions: traffic 0.145, visual_diversity 0.121, semantic_diversity 0.106', '450 frames over 29.93 s (0 estimated missing, largest interval 66.7 ms)', 'external traffic proxy covers 9.20% of the sampled pixels', 'cockpit proxy covers 0.35% of the sampled pixels', ""hand tracking reports a hand in 0.9% of the window's frames (proxy signal, not visibility ground truth)""]"
27,motorcycle_5ab8604a14df,motorcycle,13500,13949,3074824080957,3104754888300,29.930807343,450,450,0,66.686876,0,617.8007202148438,0.0,0.31182077527046204,0.05820175260305405,8.948036702349782e-05,0.028262613341212273,0.23505434782608695,0.07975260416666667,0.5356915724752571,0.011094382032752037,0.0783422514796257,0.023956526070833206,0.0,0.0,0.13333333333333333,60,12.75,1.0,1.0,True,[],0.49551776629826944,"{'motion': 0.1078914892575428, 'visual_diversity': 0.10459381044487426, 'semantic_diversity': 0.14726023164347005, 'traffic': 0.01706753612084362, 'cockpit': 0.040727985287337835, 'sharpness': 0.021310046877534215, 'hands': 0.006666666666666667, 'continuity': 0.05}","['strongest contributions: semantic_diversity 0.147, motion 0.108, visual_diversity 0.105', '450 frames over 29.93 s (0 estimated missing, largest interval 66.7 ms)', 'external traffic proxy covers 1.11% of the sampled pixels', 'cockpit proxy covers 2.40% of the sampled pixels', ""hand tracking reports a hand in 13.3% of the window's frames (proxy signal, not visibility ground truth)""]"
