recording_id,source_frame_index,timestamp_ns,side,agreement_case,agreement_label,state_candidate,hand_tracking_valid,landmarks_in_frame,landmarks_total,tracking_dt_ms,proxy_available,proxy_mask_present,proxy_mask_present_before_plausibility,proxy_implausible_detections,proxy_score,proxy_area_fraction,proxy_raw_area_fraction,proxy_tracking_overlap,local_blur_variance,reference_blur_variance,proxy_persisted_frames
motorcycle_5ab8604a14df,14275,3126486660405,right,3,hand not visible and proxy absent,not_visible,False,0,0,7.980595,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14276,3126553321812,left,3,hand not visible and proxy absent,not_visible,False,0,0,41.321188,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14276,3126553321812,right,3,hand not visible and proxy absent,not_visible,False,0,0,41.321188,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14277,3126619983269,left,3,hand not visible and proxy absent,not_visible,False,0,0,-25.340269,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14277,3126619983269,right,3,hand not visible and proxy absent,not_visible,False,0,0,-25.340269,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14278,3126686644676,left,3,hand not visible and proxy absent,not_visible,False,0,0,7.997324,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14278,3126686644676,right,3,hand not visible and proxy absent,not_visible,False,0,0,7.997324,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14279,3126753306134,left,3,hand not visible and proxy absent,not_visible,False,0,0,41.336866,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14279,3126753306134,right,3,hand not visible and proxy absent,not_visible,False,0,0,41.336866,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14280,3126819967541,left,3,hand not visible and proxy absent,not_visible,False,0,0,-25.324541,True,False,False,0,0.0,0.0,0.0,,,,0
motorcycle_5ab8604a14df,14280,3126819967541,right,3,hand not visible and proxy absent,not_visible,False,0,0,-25.324541,True,False,False,0,0.0,0.0,0.0,,,,0
