recording_id,domain,stream_label,stream_id,index_before,index_after,t_before_ns,t_after_ns,dt_ms,periods,missing_estimate,over_1p5_periods,over_2_periods,over_250ms,non_monotonic
car_2e84f0c3e245,car,temperature,246-1,87,88,1060061939670,1060063594305,1.654635,11.692707229171083,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,95,96,1060064276963,1060064518264,0.241301,1.705186912585683,1,True,False,False,False
car_2e84f0c3e245,car,temperature,246-1,100,101,1060064909149,1061053211962,988.302813,6983.978609285563,6983,True,True,True,False
car_2e84f0c3e245,car,temperature,246-1,101,102,1061053211962,1061054872117,1.660155,11.731715073139707,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,102,103,1061054872117,1061056527275,1.655158,11.696403081054342,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,103,104,1061056527275,1061058182170,1.654895,11.694544555155113,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,104,105,1061058182170,1061059838525,1.656355,11.704861847219277,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,105,106,1061059838525,1061061494931,1.656406,11.705222245777684,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,106,107,1061061494931,1061063160607,1.665676,11.770729983746731,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,114,115,1061063867275,1061064109097,0.241822,1.708868631192142,1,True,False,False,False
car_2e84f0c3e245,car,temperature,246-1,119,120,1061064499930,1062052784722,988.284792,6983.851261394954,6983,True,True,True,False
car_2e84f0c3e245,car,temperature,246-1,120,121,1062052784722,1062054442378,1.657656,11.714055543777825,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,121,122,1062054442378,1062056099045,1.656667,11.707066638400113,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,122,123,1062056099045,1062057753680,1.654635,11.692707229171083,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,123,124,1062057753680,1062059409827,1.656147,11.703391986432054,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,124,125,1062059409827,1062061064722,1.654895,11.694544555155113,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,125,126,1062061064722,1062062720398,1.655676,11.7000635997456,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,131,132,1062063135243,1062063391025,0.255782,1.8075189032577204,1,True,False,False,False
car_2e84f0c3e245,car,temperature,246-1,133,134,1062063520087,1062063761129,0.241042,1.7033566532400537,1,True,False,False,False
car_2e84f0c3e245,car,temperature,246-1,138,139,1062064151961,1063052363003,988.211042,6983.330096812946,6982,True,True,True,False
car_2e84f0c3e245,car,temperature,246-1,139,140,1063052363003,1063054021442,1.658439,11.719588721645113,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,140,141,1063054021442,1063055676597,1.655155,11.696381881139143,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,141,142,1063055676597,1063057329982,1.653385,11.683873931170941,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,142,143,1063057329982,1063058985868,1.655886,11.701547593809625,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,143,144,1063058985868,1063060639253,1.653385,11.683873931170941,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,144,145,1063060639253,1063062295140,1.655887,11.701554660448025,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,149,150,1063062642274,1063062878317,0.236043,1.6680305278778884,1,True,False,False,False
car_2e84f0c3e245,car,temperature,246-1,152,153,1063063150607,1063063391910,0.241303,1.7052010458624831,1,True,False,False,False
car_2e84f0c3e245,car,temperature,246-1,157,158,1063063783786,1064051946076,988.16229,6982.985584057664,6982,True,True,True,False
car_2e84f0c3e245,car,temperature,246-1,158,159,1064051946076,1064053603942,1.657866,11.715539537841849,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,159,160,1064053603942,1064055258107,1.654165,11.68938590912303,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,160,161,1064055258107,1064056913004,1.654897,11.694558688431913,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,161,162,1064056913004,1064058569670,1.656666,11.707059571761713,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,162,163,1064058569670,1064060225815,1.656145,11.703377853155255,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,163,164,1064060225815,1064061880452,1.654637,11.692721362447884,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,171,172,1064062561597,1064062803421,0.241824,1.7088827644689422,1,True,False,False,False
car_2e84f0c3e245,car,temperature,246-1,176,177,1064063193784,1065051525607,988.331823,6984.18361246555,6983,True,True,True,False
car_2e84f0c3e245,car,temperature,246-1,177,178,1065051525607,1065053184514,1.658907,11.722895908416366,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,178,179,1065053184514,1065054840138,1.655624,11.699696134548795,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,179,180,1065054840138,1065056494306,1.654168,11.68940710903823,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,180,181,1065056494306,1065058149201,1.654895,11.694544555155113,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,181,182,1065058149201,1065059805346,1.656145,11.703377853155255,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,182,183,1065059805346,1065061460764,1.655418,11.698240407038371,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,188,189,1065061882848,1065062121649,0.238801,1.6875203165854002,1,True,False,False,False
car_2e84f0c3e245,car,temperature,246-1,189,190,1065062121649,1065062374462,0.252813,1.7865380538477846,1,True,False,False,False
car_2e84f0c3e245,car,temperature,246-1,190,191,1065062374462,1065062615763,0.241301,1.705186912585683,1,True,False,False,False
car_2e84f0c3e245,car,temperature,246-1,195,196,1065063007118,1066051106129,988.099011,6982.538414246343,6982,True,True,True,False
car_2e84f0c3e245,car,temperature,246-1,196,197,1066051106129,1066052763785,1.657656,11.714055543777825,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,197,198,1066052763785,1066054422690,1.658905,11.722881775139566,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,198,199,1066054422690,1066056076858,1.654168,11.68940710903823,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,199,200,1066056076858,1066057732743,1.655885,11.701540527171225,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,200,201,1066057732743,1066059388109,1.655366,11.697872941841567,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,201,202,1066059388109,1066061042274,1.654165,11.68938590912303,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,209,210,1066061722690,1066061964723,0.242033,1.7103596918945658,1,True,False,False,False
car_2e84f0c3e245,car,temperature,246-1,214,215,1066062355348,1067050697170,988.341822,6984.254271782913,6983,True,True,True,False
car_2e84f0c3e245,car,temperature,246-1,215,216,1067050697170,1067052354566,1.657396,11.712218217793795,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,216,217,1067052354566,1067054009723,1.655157,11.696396014415942,11,True,True,False,False
car_2e84f0c3e245,car,temperature,246-1,217,218,1067054009723,1067055665139,1.655416,11.698226273761572,11,True,True,False,False
