candidate_id,domain,recording_id,start_ns,end_ns,duration_s,state,manoeuvre,evidence_source_count,evidence_sources,review_status,automatic_label_is_not_final,evidence_peak_lateral_offset_m,evidence_mean_lateral_offset_m,evidence_crossed_to_left,evidence_duration_beyond_s,evidence_distance_beyond_m,evidence_mean_speed_mps,evidence_mean_heading_error_deg,evidence_median_gps_accuracy_m,evidence_road_class,evidence_road_oneway,evidence_against_oneway,evidence_min_distance_to_junction_m,evidence_min_distance_to_roundabout_m,evidence_marking_continuity,evidence_marking_reason,evidence_marking_start_ns,evidence_marking_end_ns,evidence_marking_observed_frames,evidence_marking_frame_interval_s,evidence_marking_continuity_side,evidence_marking_continuity_confidence,evidence_marking_continuity_reason,evidence_marking_duty_cycle_left,evidence_marking_duty_cycle_right,evidence_marking_mean_marking_pixels,evidence_marking_vision_lateral_offset
motorcycle_slc_006,motorcycle,motorcycle_5ab8604a14df,2291248142237,2293248140882,1.999998645,not_evaluable,roundabout_manoeuvre,2,signed_lateral_offset|heading_vs_road,pending_human_review,True,1.9681281806225859,-1.705230336083865,True,1.999998645,25.65874786203051,12.25866667429606,4.64757869983709,4.0,primary,True,False,41.30156595223062,4.855014642049714,,no dense frozen semantic block covers this window,,,,,,,,,,,
motorcycle_slc_007,motorcycle,motorcycle_5ab8604a14df,2306248131559,2312248127132,5.999995573,not_evaluable,junction_manoeuvre,2,signed_lateral_offset|heading_vs_road,pending_human_review,True,3.0707080202247123,-2.2435798252624592,True,5.999995573,104.53040411252027,17.19414302280971,1.882160108745072,3.0,primary,None,False,1.0391843889933987,220.23445467732714,,no dense frozen semantic block covers this window,,,,,,,,,,,
motorcycle_slc_008,motorcycle,motorcycle_5ab8604a14df,2319248121820,2337248119112,17.999997292,not_evaluable,junction_manoeuvre,2,signed_lateral_offset|heading_vs_road,pending_human_review,True,2.5601029936274244,1.9450700152357445,False,17.999997292,335.22591678809795,18.37389494243421,1.5142656381952435,2.0,primary,None,False,7.6148582569626395,225.14467086123818,,no dense frozen semantic block covers this window,,,,,,,,,,,
motorcycle_slc_009,motorcycle,motorcycle_5ab8604a14df,2339248119580,2341248120049,2.000000469,not_evaluable,junction_manoeuvre,2,signed_lateral_offset|heading_vs_road,pending_human_review,True,1.2863643010694183,1.2762130759702697,False,2.000000469,40.802437568873074,17.749666849772137,0.2526280625685236,2.0,primary,None,False,8.294115127797948,154.20903511244435,,no dense frozen semantic block covers this window,,,,,,,,,,,
motorcycle_slc_010,motorcycle,motorcycle_5ab8604a14df,2348248121612,2351248122289,3.000000677,not_evaluable,roundabout_manoeuvre,2,signed_lateral_offset|heading_vs_road,pending_human_review,True,1.9641220654950606,1.7526399858232775,False,3.000000677,27.85279623592828,9.805000066757202,5.230869840114298,3.0,primary,True,False,14.436309349339222,20.422698401928457,,no dense frozen semantic block covers this window,,,,,,,,,,,
motorcycle_slc_011,motorcycle,motorcycle_5ab8604a14df,2354248122914,2359248123955,5.000001041,not_evaluable,roundabout_manoeuvre,2,signed_lateral_offset|heading_vs_road,pending_human_review,True,8.720708905926953,6.195990525328469,False,5.000001041,56.2277992029035,8.893333435058594,21.26730196206555,3.0,primary,True,False,54.100718396987176,0.2845071428780702,,no dense frozen semantic block covers this window,,,,,,,,,,,
motorcycle_slc_012,motorcycle,motorcycle_5ab8604a14df,2366248125205,2379248127549,13.000002344,not_evaluable,lane_keeping_or_drift,2,signed_lateral_offset|heading_vs_road,pending_human_review,True,4.423264935611755,2.531571633886041,False,13.000002344,212.38258776057137,16.33285733631679,2.0432127446203014,3.0,primary,None,False,36.3789412631094,86.98131795345488,,no dense frozen semantic block covers this window,,,,,,,,,,,
motorcycle_slc_013,motorcycle,motorcycle_5ab8604a14df,2386248128747,2391248129476,5.000000729,not_evaluable,lane_keeping_or_drift,2,signed_lateral_offset|heading_vs_road,pending_human_review,True,3.74444878123969,2.526544713146708,False,5.000000729,144.23860584798786,27.20800018310547,2.0011836895280104,3.0,primary,None,False,120.32046885355912,301.9315411240892,,no dense frozen semantic block covers this window,,,,,,,,,,,
motorcycle_slc_014,motorcycle,motorcycle_5ab8604a14df,2399248130674,2400248130830,1.000000156,not_evaluable,junction_manoeuvre,2,signed_lateral_offset|heading_vs_road,pending_human_review,True,1.537479057648168,-1.5194214625566143,True,1.000000156,31.674192804171525,31.597000122070312,0.07819829366695075,3.0,primary,None,False,4.63289192136857,395.4339285264145,,no dense frozen semantic block covers this window,,,,,,,,,,,
motorcycle_slc_015,motorcycle,motorcycle_5ab8604a14df,2407248131872,2408248132028,1.000000156,not_evaluable,lane_keeping_or_drift,2,signed_lateral_offset|heading_vs_road,pending_human_review,True,1.5457823936382542,1.4712526384909648,False,1.000000156,28.48888076803587,28.347000122070312,1.9188521819317188,3.0,primary,None,False,245.34599949818394,574.0408956892743,,no dense frozen semantic block covers this window,,,,,,,,,,,
