class,baseline_pixel_fraction,refined_pixel_fraction,absolute_change,relative_change,baseline_presence,refined_presence,baseline_components,refined_components,baseline_lateral_band,refined_lateral_band
unknown,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
road_surface,0.28588316032002653,0.26338410487005254,-0.022499055449973993,-0.07870017745986804,0.9688888888888889,0.9933333333333333,11.403669724770642,12.440715883668904,0.22714857215693005,0.2225293267448653
lane_marking,0.03520215480739621,0.03185739403983279,-0.0033447607675634247,-0.09501579621656193,0.9888888888888889,0.9977777777777778,27.6,21.888641425389753,0.02441770587837451,0.024782863857694855
regulatory_road_marking,0.016453346770807085,0.014237167194635053,-0.0022161795761720324,-0.13469475888663363,0.4488888888888889,0.49333333333333335,2.3415841584158414,2.5585585585585586,0.011536449147560258,0.009908906367456175
vehicle,0.0067115778067056734,0.0067463593509293,3.4781544223626455e-05,0.005182320048331334,0.8355555555555556,0.8733333333333333,2.2632978723404253,2.6412213740458017,0.009724056125236065,0.009873324676623234
two_wheeler,0.00042784487766299933,0.018208733134521985,0.017780888256858987,41.559193962968195,0.2,0.7311111111111112,1.5555555555555556,5.085106382978723,0.0005464536737889737,0.0034364316578560693
pedestrian,7.316541156929165e-05,8.354409086108172e-05,1.0378679291790069e-05,0.14185226419400226,0.21555555555555556,0.21555555555555556,1.288659793814433,1.4329896907216495,8.09440568535947e-05,0.00012988368090039392
traffic_light,1.2376735673693345e-05,2.877837662037897e-05,1.6401640946685623e-05,1.3251992592479116,0.051111111111111114,0.09111111111111111,1.2608695652173914,1.0975609756097562,6.659279028993877e-06,2.047523626918315e-05
traffic_sign,0.00233426313769678,0.001566589362081717,-0.0007676737756150628,-0.3288719952852134,0.7844444444444445,0.7644444444444445,3.0169971671388103,2.854651162790698,0.0027240769354830324,0.0015517881000713283
road_boundary_or_obstacle,0.07146423045384134,0.07297019681596605,0.0015059663621247027,0.021073008868365335,1.0,1.0,7.566666666666666,7.611111111111111,0.10424902842159478,0.11347617655665017
mirror,0.00019537774815001446,1.8900295035923174e-05,-0.00017647745311409128,-0.9032628064614031,0.2222222222222222,0.03777777777777778,12.01,12.058823529411764,5.564399910515938e-05,0.0
instrument_display,0.0002018354924274236,0.00017677085270634404,-2.5064639721079565e-05,-0.12418350915209998,0.4888888888888889,0.2577777777777778,11.340909090909092,9.310344827586206,0.0002706580720346699,2.5943106227561577e-05
control_and_ego_vehicle,0.007699750467745396,0.0002936650193477323,-0.007406085448397664,-0.9618604498187431,0.9933333333333333,0.4866666666666667,165.8791946308725,66.47945205479452,0.011269947922356967,0.00014836814408753155
other_environment,0.5733409159702976,0.5904277965974091,0.0170868806271115,0.029802304616956207,1.0,1.0,961.4711111111111,921.0933333333334,0.6079698043316529,0.6141165118712981
