stage,description,width,height,aspect_ratio,transform,inverse_transform,crop_box,padding,scale_x,scale_y,source_frame_retained_fraction,valid_region_retained_fraction,pixels_lost_left,pixels_lost_right,pixels_lost_top,pixels_lost_bottom,aspect_preserved,notes
01_vrs_rgb,raw RGB frame decoded from the VRS,2016,1512,1.3333333333333333,identity,identity,,,1.0,1.0,0.9625354964516671,1.0,0.0,0.0,0.0,0.0,True,"camera model CameraModelType.FISHEYE624, focal 879.00, principal point (999.6, 763.4)"
02_rectify_pinhole,fisheye624 -> linear pinhole at focal 879.0,2016,1512,1.3333333333333333,unproject(fisheye) then project(pinhole),unproject(pinhole) then project(fisheye),,,1.0,1.0,0.5484910399344923,0.5698398053437755,252.0,269.0,145.0,126.0,True,
03_mask2former_input,Mask2Former image processor resize to a fixed square,384,384,1.0,resize,inverse resize,,,0.19047619047619047,0.25396825396825395,,,,,,,False,model-space geometry only; the produced mask is mapped back to the rectified frame before fusion
04_grounding_dino_input,"Grounding DINO processor resize (shortest edge 800, longest 1333)",1333,1000,1.333,resize,inverse resize,,,0.6612103174603174,0.6613756613756614,,,,,,,False,model-space geometry only; the produced mask is mapped back to the rectified frame before fusion
05_sam2_input,SAM 2.1 operates on the rectified frame directly,2016,1512,1.3333333333333333,resize,inverse resize,,,1.0,1.0,,,,,,,True,model-space geometry only; the produced mask is mapped back to the rectified frame before fusion
06_semantic_camera_masks,dense fused mask in rectified geometry,2016,1512,1.3333333333333333,identity,identity,,,1.0,1.0,,,,,,,True,
07_temporal_processing_scale,temporal stages operate at processing_scale=0.5,1008,756,1.3333333333333333,resize,resize back,,,0.5,0.5,,,,,,,True,aspect ratio preserved; no crop
08_final_video,rendered presentation video,1280,960,1.3333333333333333,resize,n/a (presentation only),,,0.6349206349206349,0.6349206349206349,,,,,,,True,450 frames at 15.0000 fps
