family,metric,unit,statistical_unit,paired,n_units,n_car,n_motorcycle,car_median,motorcycle_median,block_size_units,effective_sample_size,frames_are_independent_samples,skipped,difference_moto_minus_car,ci_low,ci_high,ci_method,ci_caveat,cliffs_delta,permutation_p,permutation_iterations,permutation_reason,is_place_property,permutation_p_fdr,significant_after_fdr
bin,road_relevant_mass_percent,% foveal mass,50 m route bin,True,42,42,42,31.219694248152244,29.546169910044718,8,6,False,False,-7.423748766060966,-10.400535777432967,0.6889489686404193,"block bootstrap, block=8, 2000 iterations",,-0.1689342403628118,0.5550889822035593,5000,,False,0.7285542891421716,False
bin,interior_cockpit_mass_percent,% foveal mass,50 m route bin,True,42,42,42,0.8454174842909663,0.0,8,6,False,False,-0.743505739808884,-2.6311543958979273,-0.03351720962259769,"block bootstrap, block=8, 2000 iterations",,-0.6162131519274376,0.001999600079984003,5000,,False,0.008398320335932814,True
bin,vulnerable_road_user_mass_percent,% foveal mass,50 m route bin,True,42,42,42,0.0,0.0,8,6,False,False,0.0,0.0,0.0,"block bootstrap, block=8, 2000 iterations",,0.08276643990929705,1.0,5000,,False,1.0,False
bin,sign_and_signal_mass_percent,% foveal mass,50 m route bin,True,42,42,42,0.001898427111781062,0.08078225546598441,8,6,False,False,0.0433261117116653,0.0,0.16791421048442937,"block bootstrap, block=8, 2000 iterations",,0.25510204081632654,0.22935412917416517,5000,,False,0.40381923615276943,False
bin,road_relevant_top1_percent,% of time,50 m route bin,True,42,42,42,27.99283154121864,23.460365853658537,8,6,False,False,-4.141502610445442,-13.369963369963372,-0.3308618352866146,"block bootstrap, block=8, 2000 iterations",,-0.1961451247165533,0.40631873625274945,5000,,False,0.6413517296540692,False
bin,foveal_entropy_mean,normalised entropy,50 m route bin,True,42,42,42,0.2546188146941207,0.24861134806751645,8,6,False,False,0.00477014107190471,-0.018105279107714804,0.029340537494385033,"block bootstrap, block=8, 2000 iterations",,0.031746031746031744,0.9062187562487503,5000,,False,0.9813437312537493,False
bin,top1_distribution_entropy,normalised entropy,50 m route bin,True,42,42,42,0.35515908510807837,0.3562219009681222,8,6,False,False,-0.01080627478682887,-0.029511692121618638,0.037311374860443336,"block bootstrap, block=8, 2000 iterations",,-0.0022675736961451248,0.9346130773845231,5000,,False,0.9813437312537493,False
bin,semantic_transition_rate_per_s,transitions/s,50 m route bin,True,42,42,42,5.908866733037915,7.0952634903053164,8,6,False,False,1.3593420356670673,-0.3636289959814092,2.634000050819518,"block bootstrap, block=8, 2000 iterations",,0.2233560090702948,0.23075384923015396,5000,,False,0.40381923615276943,False
bin,fixation_time_percent,% of time,50 m route bin,True,42,42,42,81.025570017539,50.91568338249754,8,6,False,False,-28.581984692585205,-37.24787090990586,-19.781451386943118,"block bootstrap, block=8, 2000 iterations",,-0.828798185941043,0.0007998400319936012,5000,,False,0.008398320335932812,True
bin,scanpath_length_deg_per_s,deg/s,50 m route bin,True,42,42,42,38.63690455698932,49.67756047699277,8,6,False,False,14.575344738783611,8.126695363061273,23.222711099772184,"block bootstrap, block=8, 2000 iterations",,0.6405895691609977,0.00599880023995201,5000,,False,0.014930347263880558,True
