event_type,metric,unit,n_car,n_motorcycle,car_median,motorcycle_median,statistical_unit,counts_are_single_digit
solid_line_candidate,delta_head_angular_speed_rad_s,rad/s,2,27,0.005957646230041955,0.023227378992525305,road event,True
solid_line_candidate,delta_speed_mps,m/s,1,29,-7.278000354766846,-1.930999755859375,road event,True
solid_line_candidate,delta_visual_lane_position_proxy_abs_offset,lane half-widths,2,25,-0.17429916962290393,0.0008007602785067292,road event,True
straight,delta_heart_rate_bpm,bpm,5,10,5.78432951537205,1.9878406806716171,road event,True
straight,delta_ibi_ms,ms,5,10,-42.74109599999997,-1.9253247500000157,road event,True
straight,delta_blink_rate_per_minute,blinks/min,5,11,12.000005123987744,-7.500001170937594,road event,True
straight,delta_mean_blink_duration_s,s,2,9,-0.08749975000000002,-0.010476171428571435,road event,True
straight,delta_eye_closure_fraction,fraction,5,10,0.0,-0.023161764705882354,road event,True
straight,delta_pupil_light_adjusted_residual_mm,"mm, light-adjusted",5,10,-0.04064897114303568,0.0431280075653261,road event,True
straight,delta_road_relevant_mass_percent,% foveal mass,5,10,16.199555113161757,18.757940270653158,road event,True
straight,delta_gaze_entropy,normalised entropy,5,10,0.0483591818840261,-0.0590824606604303,road event,True
straight,delta_head_angular_speed_rad_s,rad/s,5,10,0.08917560330520061,0.2020944890315799,road event,True
straight,delta_speed_mps,m/s,4,11,-4.055750131607056,-4.0829997062683105,road event,True
straight,delta_visual_lane_position_proxy_abs_offset,lane half-widths,4,7,0.17302465175149478,0.1903953145618298,road event,True
traffic_signal,delta_heart_rate_bpm,bpm,0,1,,27.79265113380916,road event,True
traffic_signal,delta_ibi_ms,ms,0,1,,-81.635832,road event,True
traffic_signal,delta_blink_rate_per_minute,blinks/min,0,1,,21.428571033163223,road event,True
traffic_signal,delta_mean_blink_duration_s,s,0,1,,-0.07777744444444445,road event,True
traffic_signal,delta_eye_closure_fraction,fraction,0,1,,-0.04444444444444445,road event,True
traffic_signal,delta_pupil_light_adjusted_residual_mm,"mm, light-adjusted",0,1,,0.5439860057972601,road event,True
traffic_signal,delta_road_relevant_mass_percent,% foveal mass,0,1,,-32.33448258954865,road event,True
traffic_signal,delta_gaze_entropy,normalised entropy,0,1,,-0.06000321764588848,road event,True
traffic_signal,delta_head_angular_speed_rad_s,rad/s,0,1,,0.045153186681745894,road event,True
traffic_signal,delta_speed_mps,m/s,0,1,,18.111000537872314,road event,True
traffic_signal,delta_visual_lane_position_proxy_abs_offset,lane half-widths,0,1,,-0.4492780305723757,road event,True
